user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[29],"[10, 0]",19.9,17.98,18.87,1
1,[28],"[4, 0]",2.0,12.12,14.12,1
2,[19],"[7, 13]",20.3,24.37,25.35,1
3,-,-,-,-,24.82,2
4,-,-,-,-,20.82,3
5,[29],"[11, 7]",17.1,18.2,19.65,1
6,"[18, 29]","[5, 3, 10]",6.0,18.97,19.7,2
7,-,-,-,-,16.67,2
8,"[29, 24]","[9, 0, 19]",11.8,36.5,26.32,3
9,"[28, 24]","[2, 4, 15]",22.9,13.42,17.3,2
10,[29],"[13, 12]",2.0,2.77,4.77,1
11,[19],"[9, 0]",2.0,15.48,17.48,1
12,[29],"[0, 8]",10.5,14.75,14.48,1
13,"[14, 28]","[18, 4, 2]",9.2,15.92,19.92,2
14,[19],"[7, 10]",8.0,17.23,18.05,1
15,[24],"[16, 18]",14.4,12.73,14.53,1
16,"[29, 18, 14]","[12, 3, 4, 15]",25.8,26.52,32.52,3
17,-,-,-,-,29.87,3
18,[14],"[14, 15]",2.0,3.47,5.47,1
19,[24],"[4, 18]",4.0,9.1,11.0,1
20,-,-,-,-,29.87,3
21,-,-,-,-,35.37,3
22,"[28, 29]","[1, 0, 7]",19.8,9.7,13.7,2
23,[24],"[4, 17]",2.0,4.9,6.9,1
24,[18],"[0, 2]",4.0,9.7,9.13,1
25,"[29, 28]","[7, 3, 4]",22.0,10.58,14.6,2
26,"[24, 18, 19]","[15, 4, 3, 7]",17.5,16.97,16.47,2
27,[24],"[15, 19]",18.4,17.57,17.25,1
28,[29],"[9, 12]",2.0,9.1,11.1,1
29,"[19, 18, 24]","[13, 3, 4, 18]",29.0,29.13,35.13,3
30,"[14, 28, 19]","[19, 4, 3, 10]",18.4,22.48,28.48,3
31,[14],"[19, 14]",4.0,17.13,17.48,1
32,-,-,-,-,22.85,3
33,[19],"[9, 10]",2.0,2.5,4.5,1
34,-,-,-,-,17.62,2
35,"[14, 28]","[19, 4, 3]",11.6,12.7,16.7,2
36,[28],"[0, 6]",2.0,14.4,16.4,1
37,[24],"[20, 18]",2.0,5.03,7.03,1
38,"[28, 24]","[2, 4, 16]",20.9,10.65,14.65,2
39,[18],"[1, 4]",2.0,10.38,12.38,1
40,[19],"[13, 12]",2.0,2.77,4.77,1
41,"[28, 24]","[6, 4, 18]",4.0,14.92,18.92,2
42,"[18, 14]","[5, 4, 15]",4.0,12.1,16.1,2
43,-,-,-,-,29.87,3
44,"[28, 14]","[0, 4, 15]",8.5,18.5,11.0,1
45,-,-,-,-,18.53,2
46,-,-,-,-,17.25,2
47,"[14, 28]","[20, 4, 5]",24.8,19.83,23.63,2
48,-,-,-,-,21.98,3
49,[24],"[17, 18]",2.0,4.22,6.22,1
50,[19],"[0, 9]",2.0,15.48,17.48,1
51,[24],"[14, 20]",4.0,20.38,22.37,1
52,[29],"[3, 12]",2.0,16.67,18.67,1
53,[28],"[4, 2]",2.0,6.92,8.92,1
54,"[28, 29]","[4, 3, 10]",4.0,13.25,17.25,2
55,"[19, 28]","[10, 0, 2]",4.0,23.98,17.25,2
56,"[14, 18]","[14, 4, 5]",4.0,13.6,17.62,2
57,"[18, 29]","[4, 3, 13]",15.5,22.9,24.13,2
58,"[14, 28, 29]","[19, 4, 3, 10]",12.2,24.33,28.48,3
59,"[24, 28]","[16, 4, 6]",21.0,9.65,13.65,2
60,"[24, 18]","[20, 4, 3]",24.0,17.38,21.38,2
61,"[28, 29]","[5, 3, 12]",16.9,25.85,26.58,2
62,"[24, 28, 29]","[17, 4, 3, 7]",15.1,15.48,21.5,3
63,[29],"[7, 12]",13.8,28.52,24.93,1
64,"[18, 29]","[1, 0, 7]",17.4,9.7,13.7,2
65,"[19, 18, 14]","[7, 3, 4, 20]",24.9,24.5,29.47,2
66,-,-,-,-,31.03,3
67,[19],"[8, 12]",6.0,12.88,14.53,1
68,-,-,-,-,33.17,3
69,"[29, 14, 28]","[7, 0, 4, 2]",10.1,22.5,14.6,2
70,"[29, 28]","[8, 3, 6]",8.0,14.02,13.87,2
71,"[24, 18]","[15, 4, 5]",4.0,12.1,16.1,2
72,"[18, 24]","[3, 4, 18]",10.7,12.47,16.47,2
73,[19],"[0, 11]",2.0,18.63,20.63,1
74,-,-,-,-,32.52,3
75,"[28, 29]","[2, 0, 7]",17.9,10.58,14.6,2
76,"[28, 24]","[3, 4, 18]",8.7,12.57,16.47,2
77,"[29, 28, 24]","[7, 3, 4, 15]",14.9,17.08,16.47,2
78,[18],"[4, 2]",2.0,6.92,8.92,1
79,"[19, 14]","[11, 0, 14]",26.0,24.18,28.17,2
80,"[19, 28, 24]","[10, 3, 4, 16]",25.1,16.98,22.98,3
81,"[28, 29]","[5, 3, 10]",24.0,15.7,19.7,2
82,"[18, 19]","[5, 3, 13]",23.7,23.17,26.58,2
83,"[28, 19]","[4, 3, 11]",11.6,14.53,18.55,2
84,[19],"[3, 12]",4.0,16.78,18.67,1
85,-,-,-,-,35.13,3
86,-,-,-,-,14.38,1
87,-,-,-,-,24.83,2
88,[18],"[1, 6]",4.0,10.82,11.98,1
89,"[14, 18, 29]","[19, 4, 3, 10]",22.5,22.48,28.48,3
