number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:18:46,[],[]
2,1,08:25:00,08:27:00,"['84', '50']",[]
3,2,08:30:28,08:32:28,['8'],[]
4,4,08:39:23,08:44:35,[],"['8', '50']"
5,5,08:50:18,09:37:00,['37'],['84']
6,3,09:42:55,10:03:17,['10'],['37']
7,5,10:09:12,10:11:12,[],['10']
8,6,10:11:54,10:48:42,['2'],[]
9,5,10:49:24,10:51:24,['5'],[]
10,4,10:57:07,10:59:07,[],['2']
11,3,11:02:35,11:04:35,[],['5']
12,0,11:13:54,11:42:38,['15'],[]
13,1,11:48:52,11:50:52,[],['15']
14,4,12:01:15,12:44:38,['6'],[]
15,5,12:50:21,13:04:18,[],['6']
16,3,13:10:13,13:12:13,"['67', '17']",[]
17,2,13:15:41,13:17:40,[],"['67', '17']"
18,0,13:24:48,13:26:49,"['80', '58']",[]
19,5,13:41:38,13:43:38,[],['80']
20,6,13:44:20,14:05:13,[],['58']
21,2,14:12:35,14:47:00,['26'],[]
22,0,14:54:08,14:56:08,[],['26']
23,1,15:02:22,15:22:00,['36'],[]
24,0,15:28:14,16:55:23,['23'],['36']
25,1,17:01:37,17:03:37,['12'],[]
26,2,17:07:05,17:09:05,[],['23']
27,4,17:16:00,17:18:00,[],['12']
28,0,17:30:07,19:00:00,[],[]
