number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:32:29,[],[]
2,14,08:38:01,08:40:01,['10'],[]
3,0,08:45:33,08:47:33,['52'],['10']
4,14,08:53:05,08:55:05,[],['52']
5,15,08:58:33,09:00:33,['27'],[]
6,0,09:09:33,09:47:27,['42'],['27']
7,15,09:56:27,09:58:27,[],['42']
8,16,10:01:13,10:03:13,['39'],[]
9,4,10:06:57,10:08:57,[],['39']
10,20,10:22:52,10:37:00,['63'],[]
11,4,10:50:55,10:52:55,[],['63']
12,16,10:56:39,11:23:03,['25'],[]
13,0,11:32:28,11:34:28,[],['25']
14,14,11:40:00,11:42:00,['18'],[]
15,4,11:49:54,12:02:28,['65'],[]
16,19,12:11:42,12:18:29,[],['18']
17,20,12:23:23,12:28:46,[],['65']
18,4,12:42:41,13:22:00,['3'],[]
19,20,13:35:55,13:37:55,[],['3']
20,0,13:59:55,19:00:00,[],[]
