user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[192, 8]","[22, 0, 1]",4.0,18.08,22.08,2
1,"[14, 18, 19]","[18, 4, 3, 7]",27.0,19.58,25.6,3
2,"[192, 164]","[22, 24, 27]",4.0,11.22,15.22,2
3,"[14, 18, 19]","[18, 4, 3, 9]",27.0,20.08,26.08,3
4,"[92, 64, 19]","[23, 24, 13, 11]",6.0,17.82,23.82,3
5,"[8, 92]","[5, 0, 23]",27.0,30.18,34.18,2
6,"[164, 19, 18]","[12, 13, 3, 4]",22.8,22.9,28.9,3
7,"[164, 19, 18, 14]","[26, 13, 3, 4, 19]",26.9,37.32,43.75,4
8,"[18, 14]","[5, 4, 20]",24.8,19.83,23.63,2
9,"[164, 19]","[26, 13, 3]",26.0,23.05,27.05,2
10,"[18, 19, 64]","[1, 3, 13, 25]",30.0,30.17,36.15,3
11,"[9, 4]","[7, 0, 15]",19.0,12.47,16.47,2
12,"[19, 18, 14]","[11, 3, 4, 20]",28.9,28.45,34.47,3
13,"[14, 18]","[18, 4, 5]",4.0,14.72,18.72,2
14,"[92, 8]","[22, 0, 6]",4.0,26.25,30.25,2
15,"[19, 18, 14]","[10, 3, 4, 18]",25.7,22.25,28.25,3
16,"[19, 18]","[8, 3, 5]",9.5,13.32,14.07,2
17,[14],"[16, 20]",2.0,17.3,19.3,1
18,"[164, 19, 8]","[27, 13, 3, 2]",25.2,24.63,30.52,3
19,"[192, 8]","[23, 0, 2]",20.8,22.5,26.5,2
