number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:53:31,[],[]
2,17,08:09:11,08:11:11,['15'],[]
3,14,08:23:34,08:25:34,[],['15']
4,16,08:30:00,08:32:00,['31'],[]
5,4,08:35:44,08:37:44,[],['31']
6,17,08:42:38,09:06:42,['43'],[]
7,4,09:11:36,09:13:36,[],['43']
8,14,09:21:30,09:37:49,['20'],[]
9,0,09:43:21,09:48:00,[],['20']
10,20,10:10:00,10:12:00,['45'],[]
11,18,10:17:02,10:37:55,['34'],[]
12,4,10:46:55,10:48:55,[],['45']
13,0,11:01:02,11:18:21,[],['34']
14,0,11:18:21,19:00:00,[],[]
