number,stop ID,arrival time,departure time,pick up users,drop of users
1,14,07:00:00,07:55:56,[],[]
2,12,08:19:26,08:21:27,['55'],[]
3,3,08:38:07,08:40:07,['45'],['55']
4,7,08:47:14,08:49:15,[],['45']
5,3,08:56:22,08:58:23,"['2', '82']",[]
6,8,09:02:32,09:04:32,[],['2']
7,9,09:07:59,09:10:00,['59'],[]
8,10,09:12:29,09:16:45,[],['82']
9,11,09:18:42,09:24:56,[],['59']
10,13,09:30:38,09:39:18,['70'],[]
11,11,09:45:00,09:47:00,['98'],[]
12,9,09:50:27,09:52:28,[],['98']
13,3,10:00:04,10:14:11,['38'],['70']
14,9,10:21:47,10:23:48,[],['38']
15,3,10:31:24,10:33:46,"['10', '83']",[]
16,12,10:50:26,10:52:27,[],['83']
17,13,10:55:13,10:57:13,['26'],['10']
18,11,11:02:55,11:04:55,['90'],[]
19,3,11:15:59,11:18:00,[],"['26', '90']"
20,7,11:25:07,11:27:26,['50'],[]
21,3,11:34:33,11:36:34,[],['50']
22,9,11:44:10,11:46:11,['16'],[]
23,12,11:55:17,11:57:17,[],['16']
24,11,12:02:59,12:05:00,['7'],[]
25,3,12:16:04,12:23:13,['49'],['7']
26,0,12:32:31,12:34:32,['62'],['49']
27,7,12:37:59,12:40:00,['37'],[]
28,3,12:47:07,12:51:38,"['76', '35']",[]
29,8,12:55:47,12:57:47,[],['37']
30,11,13:04:42,13:06:43,[],['35']
31,12,13:12:25,13:15:13,[],['76']
32,13,13:17:59,13:20:00,['48'],['62']
33,12,13:22:46,13:35:00,['61'],['48']
34,10,13:41:55,13:49:05,['51'],[]
35,3,13:58:52,14:00:53,['24'],"['61', '51']"
36,9,14:08:29,14:10:30,[],['24']
37,10,14:12:59,14:15:00,['8'],[]
38,3,14:24:47,14:26:47,"['68', '39', '21']",['8']
39,7,14:33:54,14:35:55,[],"['39', '68', '21']"
40,8,14:46:51,15:07:03,['85'],[]
41,7,15:17:59,15:20:12,"['87', '97']",[]
42,0,15:23:39,15:25:40,['27'],"['97', '87', '85']"
43,7,15:29:07,16:00:09,['81'],['27']
44,3,16:07:16,16:09:17,[],['81']
45,12,16:25:57,16:27:57,['36'],[]
46,9,16:37:03,16:39:04,['33'],[]
47,3,16:46:40,16:48:41,"['53', '43']","['33', '36']"
48,8,16:52:50,17:02:01,[],"['53', '43']"
49,14,17:14:29,19:00:00,[],[]
