user ID,used buses,used transfer points,waiting time,ride time
0,"[29, 18]","[13, 3, 4]",20.8,20.135
1,[28],"[6, 1]",2.0,9.985
2,[18],"[3, 1]",2.0,6.923
3,"[18, 29]","[4, 3, 13]",24.0,20.154
4,"[28, 29]","[5, 3, 8]",21.4,10.069
5,[19],"[10, 13]",4.0,9.692
6,"[28, 19]","[2, 3, 12]",8.7,20.175
7,[29],"[12, 13]",2.0,2.769
8,[28],"[3, 5]",2.0,5.915
9,[19],"[10, 12]",2.0,6.923
10,"[19, 18]","[11, 3, 4]",13.7,14.538
11,"[18, 19]","[1, 3, 9]",23.2,14.538
12,[19],"[12, 7]",13.2,23.801
13,"[19, 28]","[8, 3, 6]",4.0,9.863
14,"[28, 19]","[2, 0, 10]",4.0,23.987
15,"[29, 28]","[7, 0, 1]",4.0,9.692
16,[29],"[9, 10]",2.0,2.496
17,"[19, 18]","[13, 3, 5]",21.9,25.357
18,[18],"[2, 3]",2.0,3.462
19,[28],"[1, 5]",4.0,12.838
20,"[18, 29]","[6, 3, 8]",6.6,9.863
21,[18],"[4, 1]",8.5,10.385
22,"[28, 19]","[5, 3, 9]",15.5,13.53
23,"[28, 29]","[5, 0, 7]",6.0,18.422
24,"[28, 19]","[2, 3, 0]",9.7,12.776
25,"[19, 18]","[10, 3, 4]",22.7,13.252
26,[18],"[4, 3]",2.0,3.462
27,"[19, 28]","[9, 3, 1]",17.6,14.538
28,"[28, 19]","[1, 3, 0]",5.8,16.237
29,"[28, 19]","[5, 3, 8]",13.5,10.069
