user ID,used buses,used transfer points,waiting time,ride time
0,[19],"[11, 13]",2.0,5.709
1,[19],"[8, 10]",2.0,5.709
2,[29],"[13, 12]",2.0,2.769
3,[28],"[2, 5]",2.0,7.833
4,[19],"[7, 0]",2.0,3.462
5,[18],"[5, 6]",2.0,0.692
6,"[29, 28]","[13, 3, 1]",23.3,23.596
7,[18],"[2, 3]",2.0,3.462
8,-,-,-,-
9,"[18, 19]","[6, 3, 11]",6.0,17.458
10,[29],"[13, 10]",2.0,7.456
11,[28],"[0, 4]",2.0,12.11
12,"[29, 28]","[12, 3, 1]",6.0,23.615
13,"[18, 29]","[1, 3, 12]",21.7,23.644
14,"[28, 19]","[1, 3, 10]",5.1,16.714
15,"[19, 18]","[13, 3, 5]",25.5,22.588
16,"[29, 28]","[13, 3, 2]",21.1,22.904
17,[19],"[0, 7]",2.0,3.462
18,[29],"[7, 13]",2.0,23.354
19,[28],"[1, 3]",2.0,6.923
20,"[19, 18]","[7, 0, 5]",13.2,22.53
21,"[18, 29]","[2, 3, 9]",17.7,11.077
22,[19],"[9, 0]",2.0,15.48
23,[18],"[6, 1]",2.0,9.985
24,"[18, 19]","[6, 0, 7]",4.0,17.868
25,[29],"[3, 13]",6.0,19.491
26,[19],"[8, 7]",2.0,10.946
27,[28],"[0, 2]",2.0,7.128
28,[19],"[10, 9]",2.0,2.496
29,"[29, 28]","[8, 3, 0]",14.7,17.308
