number,stop ID,arrival time,departure time,pick up users,drop of users
1,14,07:00:00,07:55:21,[],[]
2,2,08:02:28,08:04:28,['5'],[]
3,3,08:07:55,08:09:56,['19'],['5']
4,4,08:13:23,08:15:24,['26'],[]
5,5,08:21:06,08:23:06,[],['19']
6,6,08:23:47,08:25:48,[],['26']
7,5,08:26:29,08:28:29,['17'],[]
8,3,08:34:23,08:36:24,"['48', '10', '30']",['17']
9,2,08:39:51,08:41:52,[],['10']
10,1,08:45:19,08:47:20,[],"['48', '30']"
11,5,08:57:54,09:22:05,['34'],[]
12,3,09:27:59,09:30:00,"['27', '29']",[]
13,2,09:33:27,09:35:27,[],"['34', '29']"
14,0,09:42:34,09:45:00,"['35', '42']",['27']
15,1,09:51:13,09:56:31,['11'],[]
16,3,10:03:26,10:06:56,[],"['35', '42', '11']"
17,4,10:10:23,10:15:36,['4'],[]
18,3,10:19:03,10:21:04,['32'],['4']
19,1,10:27:59,10:30:00,['15'],['32']
20,0,10:36:13,10:48:12,"['22', '12']",['15']
21,1,10:54:25,10:56:26,['9'],[]
22,3,11:03:21,11:06:02,['21'],"['9', '12']"
23,4,11:09:29,11:11:30,[],"['21', '22']"
24,14,11:23:36,19:00:00,[],[]
