number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:48:35,[],[]
2,6,08:02:59,08:05:00,['18'],[]
3,1,08:14:59,08:33:19,[],['18']
4,3,08:40:14,08:49:36,"['24', '31']",[]
5,6,08:55:18,09:16:05,[],"['24', '31']"
6,5,09:16:46,09:30:00,['0'],[]
7,6,09:30:41,09:32:41,[],['0']
8,4,09:38:35,09:50:43,['7'],[]
9,5,09:56:25,09:59:19,[],['7']
10,4,10:05:01,10:07:01,['2'],[]
11,2,10:13:56,10:15:57,['11'],['2']
12,0,10:23:04,12:28:52,['14'],['11']
13,1,12:35:05,12:47:52,[],['14']
14,3,12:54:47,12:58:40,"['30', '39']",[]
15,4,13:02:07,13:04:08,['41'],"['30', '39']"
16,5,13:09:50,14:25:00,['8'],['41']
17,1,14:35:34,16:05:00,['45'],['8']
18,3,16:11:55,16:26:37,[],['45']
19,2,16:30:04,16:32:05,['51'],[]
20,4,16:39:00,16:43:23,['22'],['51']
21,3,16:46:50,17:01:09,['3'],['22']
22,4,17:04:36,17:06:36,[],['3']
23,21,17:18:42,19:00:00,[],[]
