number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:33:00,[],[]
2,0,08:33:00,08:35:00,['23'],[]
3,1,08:41:13,08:43:13,[],['23']
4,2,08:46:40,08:50:00,['1'],[]
5,4,08:56:55,09:55:00,['24'],['1']
6,3,09:58:27,10:00:27,[],['24']
7,5,10:06:21,11:20:00,['27'],[]
8,4,11:25:42,11:42:44,['15'],['27']
9,6,11:48:38,11:50:39,[],['15']
10,3,11:56:21,12:18:40,"['29', '14']",[]
11,4,12:22:07,13:30:20,"['11', '26']","['29', '14']"
12,3,13:33:47,13:35:47,['18'],"['11', '26']"
13,4,13:39:14,13:41:15,[],['18']
14,21,13:53:21,19:00:00,[],[]
