number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:43:55,[],[]
2,13,08:08:13,08:10:13,['41'],[]
3,12,08:12:59,08:15:00,['12'],[]
4,10,08:21:55,08:23:55,['33'],[]
5,3,08:33:42,08:35:42,['79'],"['41', '33', '12']"
6,7,08:42:49,08:44:50,[],['79']
7,3,08:51:57,08:53:58,['5'],[]
8,10,09:03:45,09:10:32,[],['5']
9,13,09:17:59,09:23:13,"['31', '23']",[]
10,12,09:25:59,09:27:59,['37'],[]
11,10,09:34:54,09:36:54,[],['31']
12,8,09:42:36,09:44:37,[],['37']
13,3,09:48:46,09:50:46,"['68', '3']",['23']
14,7,09:57:53,09:59:54,[],['3']
15,0,10:03:21,10:05:22,[],['68']
16,7,10:08:49,10:10:49,['9'],[]
17,0,10:14:16,10:16:17,['72'],['9']
18,9,10:31:45,10:34:38,[],['72']
19,10,10:37:07,10:39:08,['59'],[]
20,3,10:48:55,10:52:41,['14'],['59']
21,7,10:59:48,11:01:49,[],['14']
22,0,11:05:16,11:07:17,['35'],[]
23,7,11:10:44,11:24:52,[],['35']
24,9,11:39:08,11:50:00,"['28', '65']",[]
25,3,11:57:36,12:08:26,['25'],"['28', '65']"
26,9,12:16:02,12:18:03,[],['25']
27,3,12:25:39,12:53:57,['53'],[]
28,12,13:10:37,13:15:00,['27'],['53']
29,11,13:20:42,13:22:42,['6'],[]
30,9,13:26:09,13:30:00,['46'],[]
31,8,13:33:27,13:35:27,[],['27']
32,3,13:39:36,13:41:36,['73'],"['6', '46']"
33,9,13:49:12,13:51:49,[],['73']
34,11,13:55:16,13:57:17,['19'],[]
35,12,14:02:59,14:05:00,['20'],['19']
36,13,14:07:46,14:09:46,[],['20']
37,21,14:34:04,19:00:00,[],[]
