number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:45:24,[],[]
2,19,08:22:59,08:25:00,['2'],[]
3,16,08:52:02,08:54:02,[],['2']
4,4,09:02:06,09:04:07,['13'],[]
5,17,09:14:43,09:16:43,[],['13']
6,16,09:35:16,09:40:00,['58'],[]
7,4,09:48:04,09:50:53,[],['58']
8,14,10:07:59,10:10:00,['43'],[]
9,15,10:17:30,10:19:30,[],['43']
10,0,10:39:00,10:46:00,"['6', '19']",[]
11,14,10:58:00,11:00:00,['42'],['19']
12,4,11:17:06,11:19:06,[],"['6', '42']"
13,19,11:39:06,12:35:00,['11'],[]
14,18,12:39:30,12:44:07,['51'],[]
15,14,13:18:44,13:20:45,[],['51']
16,0,13:32:45,14:00:00,['26'],['11']
17,4,14:26:14,14:42:58,['57'],[]
18,17,14:53:34,14:55:35,[],['26']
19,20,15:15:35,15:17:35,[],['57']
20,28,16:05:15,19:00:00,[],[]
