number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:58:11,[],[]
2,5,08:12:59,08:15:00,['15'],[]
3,3,08:20:54,08:22:54,[],['15']
4,6,08:28:36,09:00:00,['1'],[]
5,4,09:05:54,09:07:54,['13'],[]
6,3,09:11:21,09:13:22,[],"['13', '1']"
7,4,09:16:49,11:35:54,['16'],[]
8,5,11:41:36,11:47:25,[],['16']
9,1,11:57:59,12:00:00,['5'],[]
10,3,12:06:55,12:36:47,['2'],['5']
11,4,12:40:14,12:42:15,[],['2']
12,3,12:45:42,13:20:36,['11'],[]
13,4,13:24:03,13:26:04,[],['11']
14,2,13:32:59,13:35:00,['10'],[]
15,3,13:38:27,13:40:27,[],['10']
16,4,13:43:54,14:37:48,['17'],[]
17,0,14:49:54,14:51:55,['0'],['17']
18,1,14:58:08,15:00:08,[],['0']
19,0,15:06:21,15:13:34,['4'],[]
20,3,15:22:52,15:24:53,['6'],['4']
21,4,15:28:20,16:30:43,['18'],['6']
22,0,16:42:49,17:04:20,['7'],['18']
23,3,17:13:38,17:20:13,[],['7']
24,28,17:29:31,19:00:00,[],[]
