number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:47:20,[],[]
2,17,08:02:59,08:05:00,['23'],[]
3,4,08:09:53,08:11:53,[],['23']
4,15,08:18:15,08:45:00,['32'],[]
5,0,08:54:00,09:57:22,['20'],['32']
6,14,10:02:54,10:10:00,['1'],[]
7,16,10:14:25,10:16:25,[],['20']
8,4,10:20:08,10:22:09,['16'],['1']
9,18,10:31:08,10:34:17,[],['16']
10,0,10:52:43,11:18:21,"['21', '27']",[]
11,17,11:34:00,11:36:00,[],['21']
12,19,11:40:59,11:43:00,[],['27']
13,17,11:47:59,11:50:00,['12'],[]
14,4,11:54:53,12:15:00,['2'],['12']
15,16,12:18:43,12:32:12,['22'],['2']
16,4,12:35:55,12:38:06,['11'],['22']
17,17,12:42:59,12:45:00,['6'],['11']
18,20,12:54:14,12:56:14,[],['6']
19,16,13:13:32,13:15:32,['3'],[]
20,4,13:19:15,13:21:16,['13'],['3']
21,20,13:35:10,13:38:33,['14'],['13']
22,17,13:47:47,13:49:47,[],['14']
23,0,14:05:26,14:07:27,['38'],[]
24,14,14:12:59,14:15:00,['5'],[]
25,17,14:27:23,14:30:30,[],['5']
26,20,14:39:44,14:41:45,[],['38']
27,28,15:03:45,19:00:00,[],[]
