number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:43:56,['45'],[]
2,25,08:56:45,08:58:50,[],['45']
3,24,09:04:22,09:06:22,['46'],[]
4,21,09:24:12,09:31:50,[],['46']
5,13,09:45:33,10:42:01,"['9', '80']",[]
6,22,10:52:20,10:56:02,[],"['9', '80']"
7,24,11:08:51,12:02:00,['17'],[]
8,22,12:14:49,12:16:49,[],['17']
9,13,12:27:08,12:38:29,['28'],[]
10,25,12:41:24,12:43:24,[],['28']
11,13,12:46:19,13:02:00,"['67', '88', '3']",[]
12,21,13:15:43,13:55:24,['29'],"['67', '88', '3']"
13,23,14:09:44,14:11:44,[],['29']
14,21,14:26:04,19:00:00,[],[]
