number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:06:07,[],[]
2,9,08:16:53,08:18:53,['89'],[]
3,4,08:30:42,08:32:42,"['24', '70']",['89']
4,9,08:44:31,08:48:18,[],"['24', '70']"
5,12,08:54:08,08:56:08,['47'],[]
6,0,09:09:59,09:11:59,['17'],['47']
7,14,09:19:55,09:21:55,"['13', '65']",['17']
8,4,09:43:28,09:45:28,[],"['13', '65']"
9,10,09:51:23,09:53:23,['39'],[]
10,14,10:10:00,10:12:00,"['25', '5']",['39']
11,12,10:18:43,10:28:59,[],['5']
12,9,10:34:49,10:36:49,[],['25']
13,11,10:40:37,10:42:37,['52'],[]
14,13,10:54:18,10:56:18,[],['52']
15,14,11:00:00,11:02:00,['54'],[]
16,12,11:08:43,11:12:00,"['80', '72']",[]
17,11,11:16:58,11:18:58,[],['72']
18,4,11:29:46,11:37:42,['61'],"['80', '54']"
19,9,11:49:31,11:56:01,[],['61']
20,8,12:06:47,12:17:00,"['19', '29']",[]
21,9,12:27:46,12:29:46,[],['29']
22,0,12:49:14,12:51:21,"['45', '83']",['19']
23,14,12:59:17,13:01:17,[],['45']
24,13,13:04:59,13:06:59,[],['83']
25,0,13:18:08,13:20:08,"['9', '76']",[]
26,13,13:31:17,13:33:17,[],['9']
27,12,13:40:00,13:42:00,"['43', '44']",[]
28,9,13:47:50,13:49:50,[],"['44', '76']"
29,8,14:00:36,14:05:15,['50'],['43']
30,13,14:27:11,14:29:11,[],['50']
31,8,14:51:07,19:00:00,[],[]
