number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:11:00,[],[]
2,19,08:30:38,08:32:38,['62'],[]
3,6,08:35:30,08:55:30,['17'],['62']
4,5,08:58:04,09:00:04,[],['17']
5,4,09:01:21,09:22:00,['68'],[]
6,6,09:25:51,09:36:55,['53'],['68']
7,17,09:39:47,09:55:56,[],['53']
8,2,10:10:18,10:17:00,['45'],[]
9,5,10:26:48,10:32:00,"['29', '14']",[]
10,6,10:34:34,11:05:23,"['11', '30']","['45', '29', '14']"
11,18,11:08:15,11:10:15,[],['11']
12,20,11:14:06,11:16:06,[],['30']
13,6,11:21:51,11:23:51,['9'],[]
14,4,11:27:42,11:32:40,[],['9']
15,1,11:42:28,12:03:45,['65'],[]
16,2,12:05:02,12:22:00,"['61', '49']",[]
17,3,12:27:27,12:29:27,['5'],[]
18,6,12:37:10,12:46:32,[],"['61', '65']"
19,19,12:49:24,12:51:24,[],['49']
20,20,12:54:16,12:56:16,[],['5']
21,6,13:02:01,13:04:01,['35'],[]
22,20,13:09:46,13:11:46,[],['35']
23,4,13:20:00,13:22:00,['71'],[]
24,18,13:28:33,13:30:33,[],['71']
25,17,13:33:07,13:42:00,['23'],[]
26,6,13:44:52,13:46:52,[],['23']
27,17,13:49:44,13:51:44,['26'],[]
28,6,13:54:36,14:07:53,"['50', '27']",[]
29,2,14:20:05,14:22:05,[],['27']
30,1,14:23:22,14:25:22,[],['50']
31,0,14:30:00,14:32:00,['4'],['26']
32,3,14:42:55,14:44:55,['57'],[]
33,6,14:52:38,14:58:26,"['58', '18']","['57', '4']"
34,18,15:01:18,15:03:18,[],['58']
35,20,15:07:09,15:09:09,[],['18']
36,5,15:16:25,15:27:00,['8'],[]
37,6,15:29:34,15:31:34,[],['8']
38,4,15:35:25,15:42:00,['15'],[]
39,6,15:45:51,15:47:51,['54'],[]
40,20,15:53:36,15:55:36,[],"['15', '54']"
41,17,16:02:02,16:27:00,['64'],[]
42,1,16:42:38,16:44:38,[],['64']
43,0,16:49:16,19:00:00,[],[]
