number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:57:49,[],[]
2,4,08:11:43,08:13:43,['1'],[]
3,5,08:15:00,08:17:00,['59'],[]
4,6,08:19:34,08:48:52,['0'],"['59', '1']"
5,20,08:54:37,08:56:37,[],['0']
6,19,08:59:29,09:02:00,['32'],[]
7,6,09:04:52,09:11:51,['38'],['32']
8,18,09:14:43,09:16:43,[],['38']
9,17,09:19:17,09:21:17,['42'],[]
10,6,09:24:09,09:26:09,['21'],['42']
11,4,09:30:00,09:32:00,['31'],[]
12,0,09:45:54,09:47:54,[],"['31', '21']"
13,2,09:53:21,09:55:21,['52'],[]
14,5,10:05:09,10:23:09,[],['52']
15,2,10:32:57,10:41:07,['8'],[]
16,3,10:46:34,10:48:34,[],['8']
17,1,10:55:00,10:57:00,['3'],[]
18,2,10:58:17,11:02:00,['12'],[]
19,6,11:14:12,11:25:26,['19'],['3']
20,17,11:28:18,11:30:18,[],['19']
21,19,11:34:22,11:36:22,[],['12']
22,0,11:56:00,19:00:00,[],[]
