number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:36:06,[],[]
2,4,08:50:00,08:52:00,['11'],[]
3,6,08:55:51,08:57:51,[],['11']
4,20,09:03:36,09:07:00,['43'],[]
5,6,09:12:45,09:28:12,"['93', '67', '60']",[]
6,5,09:30:46,09:32:46,[],['93']
7,0,09:47:46,09:56:12,"['34', '63']","['67', '60', '43']"
8,2,10:01:39,10:03:39,['57'],[]
9,3,10:09:06,10:12:00,"['6', '40']",[]
10,4,10:15:51,10:17:51,[],['63']
11,6,10:21:42,10:23:42,[],"['6', '40']"
12,19,10:26:34,10:34:03,[],['34']
13,20,10:36:55,10:41:25,[],['57']
14,6,10:47:10,11:07:33,['21'],[]
15,20,11:13:18,11:42:00,['75'],['21']
16,6,11:47:45,11:49:45,[],['75']
17,20,11:55:30,12:22:00,['13'],[]
18,19,12:24:52,12:26:52,['70'],[]
19,6,12:29:44,12:31:44,[],['13']
20,4,12:35:35,12:37:35,[],['70']
21,3,12:41:26,13:22:00,['49'],[]
22,6,13:29:43,13:31:43,[],['49']
23,19,13:34:35,13:36:35,['51'],[]
24,18,13:38:24,13:40:24,[],['51']
25,4,13:46:57,14:17:00,['36'],[]
26,1,14:26:48,14:32:00,['99'],['36']
27,0,14:36:38,14:38:38,['29'],['99']
28,1,14:43:16,14:48:34,['98'],[]
29,3,14:55:00,14:57:00,['88'],[]
30,4,15:00:51,15:09:26,[],['29']
31,6,15:13:17,15:23:07,['82'],['98']
32,17,15:25:59,15:27:59,[],['88']
33,18,15:30:33,15:57:00,['46'],['82']
34,6,15:59:52,16:01:52,[],['46']
35,19,16:04:44,16:27:00,['83'],[]
36,6,16:29:52,16:34:59,['50'],['83']
37,20,16:40:44,16:42:44,[],['50']
38,5,16:50:00,16:52:00,['80'],[]
39,0,17:07:00,19:00:00,[],['80']
