number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:26:10,"['4', '57']",[]
2,17,08:29:02,08:31:02,[],['57']
3,29,08:34:53,08:36:53,[],['4']
4,28,08:45:53,09:08:42,"['55', '13', '18']",[]
5,30,09:15:15,09:17:15,[],['18']
6,17,09:23:48,09:31:29,['69'],"['55', '13']"
7,6,09:34:21,09:36:21,['7'],['69']
8,17,09:39:13,09:41:13,['67'],['7']
9,28,09:54:04,10:07:07,[],['67']
10,30,10:13:40,11:51:29,['28'],[]
11,6,11:59:18,12:16:52,"['26', '8']",['28']
12,28,12:31:14,12:33:14,[],"['26', '8']"
13,31,12:35:48,13:37:00,['3'],[]
14,30,13:41:04,13:43:04,[],['3']
15,6,13:50:53,19:00:00,[],[]
