number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:50:11,[],[]
2,5,08:05:00,08:07:00,['71'],[]
3,4,08:12:43,08:14:43,[],['71']
4,5,08:20:26,08:37:00,"['5', '74']",[]
5,4,08:42:43,08:44:43,[],['74']
6,3,08:48:11,08:52:11,['12'],['5']
7,0,09:01:30,09:03:46,['78'],['12']
8,1,09:10:00,09:12:00,['21'],[]
9,4,09:22:23,09:24:23,['26'],['78']
10,5,09:30:06,09:32:06,[],['21']
11,6,09:32:48,09:37:00,['3'],['26']
12,5,09:37:42,09:41:39,['8'],[]
13,4,09:47:22,09:51:23,"['39', '72', '24']",[]
14,3,09:54:51,09:56:51,[],"['39', '72', '8', '24', '3']"
15,4,10:00:19,10:33:00,['14'],[]
16,3,10:36:28,10:55:36,['18'],['14']
17,2,10:59:04,11:01:04,['69'],['18']
18,3,11:04:32,11:06:32,"['75', '76', '59']",['69']
19,4,11:10:00,11:12:00,['77'],"['76', '75', '59']"
20,5,11:17:43,12:12:00,['57'],['77']
21,4,12:17:43,12:33:54,['53'],['57']
22,3,12:37:22,13:08:26,['50'],['53']
23,4,13:11:54,13:13:54,['73'],['50']
24,3,13:17:22,13:19:22,['44'],['73']
25,5,13:25:17,13:27:17,[],['44']
26,4,13:33:00,13:43:14,['1'],[]
27,1,13:53:37,14:02:00,['58'],[]
28,0,14:08:14,19:00:00,[],"['1', '58']"
