number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:10:13,[],[]
2,1,08:16:27,08:18:27,['8'],[]
3,0,08:24:41,09:12:00,"['46', '45', '40']",['8']
4,3,09:21:19,09:27:15,"['0', '9']","['46', '40', '45']"
5,5,09:33:10,09:35:10,[],['0']
6,6,09:35:52,09:52:00,['4'],['9']
7,1,10:01:59,10:03:59,['34'],['4']
8,3,10:10:54,10:13:09,"['36', '17']",['34']
9,4,10:16:37,10:18:37,['32'],"['36', '17']"
10,5,10:24:20,10:35:27,[],['32']
11,4,10:41:10,10:46:04,['56'],[]
12,3,10:49:32,10:51:32,[],['56']
13,2,10:55:00,10:57:00,['30'],[]
14,4,11:03:55,11:13:52,"['3', '2', '58', '44']",['30']
15,3,11:17:20,11:19:20,['10'],"['3', '44']"
16,1,11:26:15,11:28:15,[],"['2', '58']"
17,0,11:34:29,19:00:00,[],['10']
