number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:53:00,[],[]
2,20,08:15:00,08:17:00,"['25', '56']",[]
3,15,08:37:05,08:39:05,[],['25']
4,14,08:42:33,08:44:33,[],['56']
5,4,08:52:27,09:03:23,"['32', '7']",[]
6,16,09:07:07,09:09:07,[],['7']
7,15,09:11:53,09:32:43,['21'],['32']
8,16,09:35:29,09:52:00,['52'],[]
9,4,09:55:44,09:57:44,['46'],['52']
10,19,10:06:58,10:17:04,[],"['46', '21']"
11,20,10:21:58,10:23:58,['17'],[]
12,17,10:33:12,10:35:12,['15'],[]
13,4,10:40:06,10:42:06,['35'],"['17', '15']"
14,14,10:50:00,10:52:00,"['28', '47']",['35']
15,0,10:57:32,11:12:00,['54'],"['28', '47']"
16,19,11:29:21,11:31:21,[],['54']
17,0,11:48:42,19:00:00,[],[]
