user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[30, 20]","[17, 0, 12]",22.0,26.38,26.37,2
1,"[120, 21, 130]","[10, 4, 0, 19]",8.0,46.23,40.27,2
2,"[130, 121]","[17, 0, 1]",19.5,18.2,18.72,2
3,"[14, 130]","[22, 21, 0]",19.5,26.97,25.47,2
4,"[120, 114]","[0, 13, 24]",9.3,18.18,22.18,2
5,"[14, 120, 121]","[24, 13, 0, 3]",27.1,35.45,41.03,3
6,"[120, 21, 130]","[9, 4, 0, 17]",8.6,46.4,31.98,2
7,"[10, 121]","[8, 4, 3]",24.1,22.15,26.15,2
8,[30],"[16, 21]",2.0,14.07,16.07,1
9,[30],"[20, 19]",2.0,2.77,4.77,1
10,"[21, 120, 114]","[3, 0, 13, 24]",7.7,35.03,41.03,3
11,"[20, 14]","[10, 13, 21]",19.1,33.98,34.73,2
12,[110],"[5, 4]",2.0,3.7,5.7,1
13,"[30, 120]","[16, 0, 8]",22.2,39.55,40.7,2
14,"[30, 114]","[18, 21, 13]",16.6,22.95,26.72,2
15,"[114, 120]","[25, 13, 8]",26.0,24.87,28.85,2
16,"[30, 20]","[16, 0, 10]",15.0,28.65,32.67,2
17,"[120, 114]","[8, 13, 22]",11.1,32.27,36.25,2
18,"[20, 114]","[0, 13, 24]",7.9,19.62,22.18,2
19,"[120, 21]","[9, 4, 3]",4.0,21.05,25.05,2
20,[20],"[13, 9]",2.0,12.0,14.0,1
21,"[21, 110]","[1, 4, 6]",4.0,29.02,33.0,2
22,"[21, 120]","[1, 4, 11]",4.0,31.12,27.17,2
23,"[120, 14, 30]","[4, 13, 21, 19]",8.0,42.68,44.07,2
24,[14],"[21, 22]",2.0,5.53,7.53,1
25,"[114, 20]","[22, 13, 14]",19.0,14.02,18.02,2
26,"[130, 20]","[16, 0, 12]",17.5,24.33,24.32,2
27,"[110, 20]","[7, 4, 10]",20.6,17.07,19.7,2
28,"[30, 21]","[15, 0, 4]",12.5,29.27,32.77,2
29,[14],"[25, 22]",2.0,8.52,10.52,1
30,"[114, 20, 10]","[22, 13, 4, 6]",28.9,41.52,45.47,3
31,"[21, 30]","[4, 0, 17]",6.9,34.58,38.52,2
32,"[14, 30]","[24, 21, 20]",6.8,21.93,25.53,2
33,[114],"[25, 23]",4.0,9.45,5.92,1
34,"[121, 30]","[4, 0, 20]",27.6,43.28,45.9,3
35,"[20, 30]","[12, 0, 18]",22.0,29.43,29.42,2
36,"[114, 120]","[25, 13, 12]",7.0,9.63,13.63,2
37,"[20, 14]","[10, 13, 23]",15.7,27.98,27.67,2
38,[121],"[0, 4]",4.0,26.18,28.0,1
39,"[114, 30]","[24, 21, 20]",4.0,21.52,25.53,2
40,[30],"[17, 0]",4.0,12.0,10.52,1
41,[114],"[23, 21]",2.0,14.33,16.33,1
42,"[21, 110]","[3, 4, 6]",6.6,17.93,21.93,2
43,"[14, 20]","[21, 13, 9]",25.1,25.72,29.72,2
44,"[121, 130]","[1, 0, 18]",24.0,17.75,21.77,2
45,"[14, 120]","[21, 13, 4]",6.0,36.22,40.2,2
46,"[114, 130]","[13, 21, 17]",9.4,26.65,23.67,2
47,"[120, 121]","[10, 4, 2]",7.3,20.68,24.68,2
48,"[120, 10]","[0, 8, 6]",22.4,40.3,38.7,2
49,"[120, 14]","[12, 13, 21]",4.0,20.45,24.43,2
50,"[130, 121]","[20, 0, 2]",11.0,29.17,32.05,2
51,[121],"[4, 0]",4.0,26.08,28.0,1
52,"[20, 114, 30]","[9, 13, 21, 20]",21.7,36.68,35.42,3
53,"[14, 130]","[23, 21, 17]",4.0,27.25,31.25,2
54,"[20, 114]","[14, 13, 25]",5.6,6.62,10.62,2
55,"[20, 121]","[13, 0, 1]",24.0,17.35,21.35,2
56,[114],"[22, 13]",2.0,10.32,12.32,1
57,"[114, 20, 121]","[25, 13, 0, 1]",28.0,20.27,26.27,3
58,"[121, 20]","[2, 4, 9]",14.4,26.58,30.58,2
59,"[121, 110]","[2, 4, 7]",25.7,26.25,29.92,2
60,"[121, 30]","[3, 0, 18]",23.6,28.52,32.42,2
61,[30],"[18, 20]",2.0,5.53,7.53,1
62,[14],"[22, 23]",2.0,9.08,11.08,1
63,"[30, 120, 10]","[15, 0, 8, 6]",24.6,43.07,43.47,3
64,"[114, 120]","[25, 13, 10]",13.6,31.32,23.93,2
65,"[14, 30]","[13, 21, 18]",6.0,22.95,26.72,2
66,[120],"[9, 4]",19.0,11.82,13.82,1
67,"[30, 20, 10]","[17, 0, 8, 6]",23.5,51.72,49.22,3
68,"[20, 121, 30]","[10, 4, 0, 15]",15.9,34.75,28.97,2
69,"[20, 14]","[12, 13, 24]",4.0,13.75,17.75,2
