number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:29:46,[],[]
2,0,08:00:00,08:02:00,['5'],[]
3,14,08:09:56,08:27:00,['2'],['5']
4,12,08:33:43,08:37:00,['3'],[]
5,11,08:41:58,08:45:23,['43'],[]
6,4,08:56:11,08:58:11,['26'],"['43', '2', '3']"
7,9,09:10:00,09:12:00,"['32', '40']",['26']
8,4,09:23:49,09:25:49,"['44', '37', '23']","['32', '40']"
9,14,09:47:22,10:04:13,['15'],"['44', '37', '23']"
10,0,10:12:09,10:17:14,['45'],['15']
11,11,10:34:12,10:36:12,[],['45']
12,9,10:40:00,10:42:00,['31'],[]
13,10,10:47:55,11:01:05,"['41', '13']",[]
14,4,11:07:00,11:09:00,['20'],"['41', '13', '31']"
15,9,11:20:49,11:25:35,[],['20']
16,8,11:36:21,19:00:00,[],[]
