number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:23:34,[],[]
2,22,08:30:00,08:32:00,['50'],[]
3,23,08:33:17,08:35:37,['18'],[]
4,24,08:38:11,08:40:11,['28'],[]
5,28,08:49:33,08:51:33,['42'],"['28', '50', '18']"
6,21,09:07:11,09:09:11,[],['42']
7,22,09:11:45,09:17:00,['0'],[]
8,24,09:20:51,09:22:51,['36'],[]
9,25,09:25:25,09:38:38,['25'],[]
10,27,09:42:29,09:44:29,[],['25']
11,28,09:48:07,09:50:07,[],"['0', '36']"
12,26,09:54:45,09:57:00,['41'],[]
13,0,10:11:40,10:31:34,['44'],['41']
14,21,10:36:12,10:38:12,"['52', '43']",[]
15,24,10:44:38,10:48:37,['34'],[]
16,26,10:53:46,10:55:46,[],"['52', '34']"
17,28,11:00:24,11:02:24,"['56', '55', '39']","['43', '44']"
18,27,11:06:02,11:08:02,[],"['56', '39', '55']"
19,0,11:23:56,19:00:00,[],[]
