number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:57:00,['73'],[]
2,3,09:06:19,09:21:32,['8'],['73']
3,4,09:25:00,09:27:00,"['78', '32']",['8']
4,3,09:30:28,09:33:17,['55'],['32']
5,2,09:36:45,09:38:45,[],"['78', '55']"
6,5,09:46:35,09:52:00,['61'],[]
7,3,09:57:55,10:40:40,['16'],['61']
8,4,10:44:08,11:07:00,['53'],['16']
9,2,11:13:55,11:22:46,['75'],['53']
10,0,11:29:54,12:22:00,['36'],['75']
11,6,12:36:24,12:38:24,['41'],['36']
12,4,12:44:19,12:46:19,[],['41']
13,3,12:49:47,12:53:59,['45'],[]
14,1,13:00:54,13:04:55,[],['45']
15,2,13:08:23,13:12:00,"['7', '9', '38']",[]
16,3,13:15:28,13:20:40,"['74', '79', '20']",[]
17,4,13:24:08,13:32:16,['59'],"['74', '9', '7', '79', '38', '20']"
18,6,13:38:11,13:45:06,[],['59']
19,5,13:45:48,13:47:48,['81'],[]
20,3,13:53:43,14:25:40,['4'],['81']
21,4,14:29:08,14:35:23,"['26', '1']",['4']
22,3,14:38:51,14:42:00,"['72', '3']","['26', '1']"
23,4,14:45:28,14:57:30,['43'],"['72', '3']"
24,0,15:09:37,15:37:00,['44'],['43']
25,4,15:49:07,16:03:28,['30'],['44']
26,3,16:06:56,16:08:56,['70'],['30']
27,4,16:12:24,16:14:24,['47'],[]
28,5,16:20:07,16:22:07,[],['47']
29,6,16:22:49,16:27:52,[],['70']
30,4,16:33:47,16:42:00,"['17', '48', '83']",[]
31,3,16:45:28,17:00:58,['80'],"['17', '48', '83']"
32,4,17:04:26,17:06:26,['34'],['80']
33,5,17:12:09,17:14:09,[],['34']
34,3,17:20:04,17:22:04,['77'],[]
35,4,17:25:32,17:28:54,['62'],['77']
36,3,17:32:22,17:34:22,[],['62']
37,0,17:43:41,19:00:00,[],[]
