number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:06:53,[],[]
2,7,09:10:21,09:12:21,['25'],[]
3,11,09:30:00,09:32:00,['95'],[]
4,13,09:37:43,09:47:23,['91'],"['25', '95']"
5,9,09:56:29,09:58:29,[],['91']
6,13,10:07:35,10:42:00,['44'],[]
7,7,11:05:21,11:17:47,[],['44']
8,3,11:24:55,11:26:55,['5'],[]
9,8,11:31:04,11:33:04,[],['5']
10,13,11:45:36,12:37:48,"['67', '96', '18']",[]
11,11,12:43:31,12:45:31,['17'],[]
12,3,12:56:36,13:00:23,"['90', '71']","['96', '67', '17', '18']"
13,9,13:08:00,13:10:00,[],['71']
14,13,13:19:06,13:21:06,['11'],['90']
15,3,13:37:46,13:46:16,[],['11']
16,8,13:50:25,14:35:27,['64'],[]
17,3,14:39:36,15:16:26,"['57', '49', '26', '76']",['64']
18,11,15:27:31,15:29:31,[],['49']
19,13,15:35:14,15:37:14,[],"['26', '57', '76']"
20,8,15:49:46,15:53:57,['3'],[]
21,13,16:06:29,16:20:23,"['45', '86']",['3']
22,10,16:27:50,16:37:00,['73'],['45']
23,3,16:46:47,16:58:44,"['51', '16', '56', '29']","['73', '86']"
24,10,17:08:31,17:10:31,[],"['29', '51']"
25,11,17:12:28,17:14:28,[],['16']
26,13,17:20:11,17:40:08,[],['56']
27,0,18:04:27,19:00:00,[],[]
