number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,09:28:45,['25'],[]
2,5,09:37:59,09:39:59,[],['25']
3,4,09:43:41,09:47:00,['85'],[]
4,6,09:55:42,11:03:05,['26'],['85']
5,7,11:05:51,11:07:51,['44'],[]
6,8,11:13:14,13:02:00,['18'],"['26', '44']"
7,4,13:14:55,13:16:55,[],['18']
8,5,13:20:37,13:22:37,['94'],[]
9,7,13:30:33,13:32:33,[],['94']
10,8,13:37:56,13:46:28,['78'],[]
11,4,13:59:23,14:03:24,[],['78']
12,8,14:16:19,14:22:02,['72'],[]
13,4,14:34:57,15:52:28,"['49', '37']",['72']
14,7,16:03:37,16:05:37,[],"['49', '37']"
15,8,16:11:00,19:00:00,[],[]
