number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:41:51,[],[]
2,14,08:05:00,08:07:00,['23'],[]
3,13,08:10:42,08:12:42,[],['23']
4,10,08:29:43,08:32:23,['8'],[]
5,4,08:38:18,08:40:18,[],['8']
6,8,08:53:13,09:07:00,"['34', '9']",[]
7,9,09:17:46,09:19:46,[],"['34', '9']"
8,14,09:32:19,10:12:00,['3'],[]
9,12,10:18:43,10:27:00,['18'],[]
10,11,10:31:58,10:33:58,[],['18']
11,8,10:47:41,10:52:09,"['30', '0']",['3']
12,10,11:02:28,11:04:28,['31'],[]
13,11,11:10:00,11:12:00,['10'],[]
14,12,11:16:58,11:18:58,[],['0']
15,13,11:25:41,11:27:41,[],"['31', '10', '30']"
16,8,11:49:37,19:00:00,[],[]
