number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:26:03,[],[]
2,2,08:37:28,08:39:28,['52'],[]
3,3,08:45:00,08:47:00,['36'],[]
4,4,08:56:14,10:05:09,['19'],"['52', '36']"
5,0,10:31:09,10:35:31,"['44', '26']",['19']
6,2,10:46:56,10:48:56,[],['26']
7,3,10:54:28,10:56:28,[],['44']
8,4,11:05:42,11:07:42,['15'],[]
9,1,11:28:00,11:32:00,['62'],['15']
10,2,11:37:32,11:57:32,['18'],[]
11,4,12:12:18,12:14:18,[],"['18', '62']"
12,3,12:23:32,13:45:00,['69'],[]
13,1,13:56:05,13:58:05,[],['69']
14,3,14:09:10,14:12:00,['41'],[]
15,4,14:21:14,15:42:25,"['53', '51']",['41']
16,1,16:02:43,16:04:43,[],['53']
17,0,16:10:55,19:00:00,[],['51']
