number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:59:53,[],[]
2,18,08:20:00,08:22:00,"['21', '31']",[]
3,6,08:24:52,08:26:52,"['53', '44']",[]
4,3,08:34:35,08:36:35,[],"['53', '44']"
5,2,08:42:02,08:44:02,['70'],"['21', '31']"
6,4,08:52:39,08:54:39,"['29', '52']",[]
7,5,08:55:56,08:57:56,[],"['70', '52']"
8,19,09:02:34,09:04:34,['61'],['29']
9,6,09:07:26,09:12:00,['55'],['61']
10,4,09:15:51,09:17:51,[],['55']
11,0,09:31:45,09:33:52,['49'],[]
12,6,09:51:07,10:06:35,['56'],['49']
13,20,10:12:20,10:14:20,[],['56']
14,19,10:17:12,10:57:00,['28'],[]
15,6,10:59:52,11:05:02,['39'],['28']
16,20,11:10:47,11:22:00,['5'],['39']
17,6,11:27:45,11:41:44,['68'],['5']
18,5,11:44:18,12:17:00,"['36', '24']",['68']
19,6,12:19:34,12:21:34,['22'],[]
20,17,12:24:26,12:26:26,[],['22']
21,18,12:29:00,12:31:00,[],['24']
22,20,12:34:51,12:41:16,[],['36']
23,17,12:47:42,12:52:00,['9'],[]
24,4,12:58:33,13:00:33,[],['9']
25,0,13:14:27,13:20:22,['67'],[]
26,1,13:25:00,13:27:00,['48'],[]
27,6,13:40:25,13:43:22,['54'],"['67', '48']"
28,3,13:51:05,13:53:05,[],['54']
29,2,13:58:32,14:00:32,"['34', '20']",[]
30,4,14:09:09,14:11:09,['64'],[]
31,6,14:15:00,14:17:00,['16'],"['34', '20', '64']"
32,3,14:24:43,14:26:43,[],['16']
33,0,14:37:38,19:00:00,[],[]
