user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[14, 18]","[17, 4, 6]",4.0,10.82,14.82,2
1,[192],"[24, 23]",2.0,5.53,7.53,1
2,"[14, 8, 92]","[17, 4, 0, 23]",8.2,32.38,35.03,2
3,[14],"[0, 16]",2.0,9.42,11.42,1
4,"[4, 18, 92]","[17, 4, 0, 22]",25.7,28.85,31.52,2
5,"[8, 192, 64]","[1, 0, 24, 27]",8.0,29.45,33.97,3
6,"[164, 9, 18, 4]","[26, 13, 3, 4, 18]",32.9,35.67,43.52,4
7,"[164, 9, 18, 4]","[26, 13, 3, 4, 17]",30.8,31.47,39.42,4
8,[19],"[11, 8]",2.0,6.92,8.92,1
9,"[14, 8]","[17, 4, 5]",4.0,10.6,14.62,2
10,"[164, 192]","[26, 24, 21]",18.0,15.92,19.93,2
11,"[18, 9, 164]","[5, 3, 13, 25]",25.7,32.42,35.15,3
12,"[4, 18]","[14, 4, 3]",8.8,11.35,15.37,2
13,"[4, 9]","[18, 0, 10]",11.1,35.3,28.25,3
14,"[64, 19, 18]","[12, 13, 3, 1]",29.0,26.37,32.35,3
15,"[92, 8]","[21, 0, 6]",26.0,22.97,26.97,2
16,"[14, 192, 164]","[19, 0, 24, 26]",23.6,45.15,43.75,4
17,[19],"[3, 10]",2.0,9.78,11.78,1
18,"[8, 14]","[2, 0, 15]",17.6,18.7,17.3,2
19,[14],"[17, 0]",2.0,15.67,17.67,1
20,[9],"[8, 9]",2.0,3.47,5.47,1
21,"[92, 164]","[22, 24, 25]",23.0,13.22,17.18,2
22,"[192, 18, 9]","[23, 0, 3, 9]",13.1,32.42,27.2,3
23,"[19, 64]","[11, 13, 27]",4.0,10.08,14.1,2
24,"[192, 64, 9]","[21, 24, 13, 9]",8.0,28.13,28.05,2
25,"[14, 18]","[14, 4, 6]",6.0,15.77,17.82,2
26,[14],"[14, 20]",2.0,20.37,22.37,1
27,"[18, 4]","[2, 4, 20]",21.4,20.83,24.83,2
28,"[14, 9]","[14, 0, 10]",4.0,22.4,26.4,2
29,"[19, 18, 14]","[13, 3, 4, 16]",27.9,23.98,29.87,3
