number,stop ID,arrival time,departure time,pick up users,drop of users
1,25,07:00:00,08:15:58,[],[]
2,12,08:20:00,08:22:00,['53'],[]
3,27,08:23:57,08:27:26,[],['53']
4,26,08:30:54,09:02:00,['16'],[]
5,13,09:08:23,09:22:00,"['61', '24']",['16']
6,12,09:24:46,09:26:46,[],['61']
7,27,09:28:43,09:34:31,[],['24']
8,24,09:36:42,09:45:49,['47'],[]
9,25,09:49:58,09:51:58,[],['47']
10,24,09:56:07,10:35:37,['14'],[]
11,26,10:39:05,10:41:05,[],['14']
12,13,10:47:28,11:22:27,"['62', '69']",[]
13,26,11:28:50,11:30:50,[],"['62', '69']"
14,24,11:34:18,11:40:56,['19'],[]
15,12,11:44:58,11:46:58,[],['19']
16,27,11:48:55,13:32:00,"['49', '22']",[]
17,13,13:36:23,13:38:23,[],"['49', '22']"
18,25,13:44:57,19:00:00,[],[]
