user ID,used buses,used transfer points,waiting time,ride time
0,"[20, 10]","[12, 4, 6]",6.0,39.783
1,-,-,-,-
2,"[30, 20]","[18, 0, 14]",21.0,34.22
3,-,-,-,-
4,"[20, 21]","[12, 0, 1]",16.5,39.107
5,-,-,-,-
6,-,-,-,-
7,"[30, 20, 14]","[16, 0, 13, 24]",26.2,40.827
8,-,-,-,-
9,"[14, 20, 30]","[23, 13, 0, 17]",26.7,42.771
10,"[20, 14]","[10, 13, 22]",21.5,46.263
11,"[30, 14]","[19, 21, 22]",4.0,19.5
12,"[21, 20, 14]","[3, 0, 13, 23]",20.9,64.064
13,-,-,-,-
14,"[30, 21]","[16, 0, 1]",21.5,20.562
15,[20],"[12, 9]",2.0,9.487
16,"[14, 20]","[23, 13, 12]",21.8,21.737
17,-,-,-,-
18,"[20, 21]","[12, 0, 1]",16.5,39.107
19,"[14, 20, 21]","[25, 13, 0, 2]",13.9,41.422
20,-,-,-,-
21,"[14, 20, 10]","[21, 13, 4, 6]",14.3,73.002
22,[20],"[4, 10]",2.0,9.605
23,"[30, 20]","[16, 0, 9]",17.3,49.81
24,-,-,-,-
25,-,-,-,-
26,-,-,-,-
27,-,-,-,-
28,-,-,-,-
29,-,-,-,-
30,-,-,-,-
31,-,-,-,-
32,-,-,-,-
33,"[10, 20]","[6, 8, 14]",6.0,53.37
34,[21],"[3, 1]",2.0,18.0
35,-,-,-,-
36,-,-,-,-
37,[20],"[14, 13]",2.0,6.0
38,-,-,-,-
39,"[10, 21]","[7, 4, 0]",17.6,60.365
40,[30],"[19, 20]",2.0,4.5
41,-,-,-,-
42,-,-,-,-
43,"[10, 21]","[6, 4, 3]",10.8,29.151
44,"[20, 14]","[8, 13, 22]",21.1,52.425
45,"[20, 14]","[10, 13, 25]",17.8,32.434
46,[20],"[9, 14]",2.0,20.402
47,-,-,-,-
48,[30],"[20, 16]",4.2,24.0
49,-,-,-,-
50,-,-,-,-
51,-,-,-,-
52,-,-,-,-
53,[30],"[17, 0]",11.5,19.5
54,"[21, 20]","[1, 0, 10]",21.5,46.125
55,-,-,-,-
56,-,-,-,-
57,-,-,-,-
58,-,-,-,-
59,-,-,-,-
