number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,09:03:00,[],[]
2,21,09:03:00,09:05:00,['21'],[]
3,25,09:22:51,09:40:00,['13'],[]
4,13,09:44:03,10:08:56,['10'],"['13', '21']"
5,25,10:12:59,10:15:00,['39'],[]
6,22,10:26:51,10:28:51,[],['10']
7,21,10:36:33,10:38:34,['24'],['39']
8,24,11:03:23,11:05:23,[],['24']
9,13,11:15:10,11:54:27,['53'],[]
10,23,12:03:43,12:05:44,[],['53']
11,13,12:15:00,12:18:35,"['50', '30']",[]
12,21,12:37:41,13:31:35,['35'],"['50', '30']"
13,22,13:39:17,13:41:17,[],['35']
14,24,13:59:08,14:07:28,['32'],[]
15,13,14:17:15,14:19:15,['56'],['32']
16,25,14:23:18,14:50:00,['25'],['56']
17,13,14:54:03,14:58:11,[],['25']
18,25,15:02:14,15:10:00,['6'],[]
19,21,15:27:51,15:55:00,"['3', '48']",['6']
20,22,16:02:42,16:04:42,[],['48']
21,23,16:17:21,16:19:22,[],['3']
22,21,16:39:19,16:41:20,"['16', '41']",[]
23,25,16:59:11,17:01:11,[],['41']
24,13,17:05:14,17:07:15,[],['16']
25,28,17:26:21,19:00:00,[],[]
