user ID,used buses,used transfer points,waiting time,ride time
0,[10],"[7, 4]",4.0,11.478
1,-,-,-,-
2,[10],"[7, 8]",2.0,5.382
3,"[10, 21]","[6, 4, 1]",27.0,29.016
4,"[10, 20]","[5, 4, 9]",4.0,15.513
5,-,-,-,-
6,-,-,-,-
7,[10],"[5, 8]",4.0,13.323
8,[30],"[20, 19]",2.0,2.769
9,"[21, 10]","[3, 4, 8]",4.0,22.154
10,"[10, 20, 14]","[6, 4, 13, 23]",16.6,37.845
11,"[21, 20]","[2, 4, 11]",5.5,25.574
12,"[30, 14]","[19, 21, 23]",4.0,20.792
13,"[10, 21, 30]","[8, 4, 0, 15]",15.5,45.187
14,-,-,-,-
15,-,-,-,-
16,[30],"[15, 18]",2.0,9.231
17,[10],"[8, 5]",2.0,9.231
18,[30],"[20, 17]",4.0,9.231
19,-,-,-,-
20,[14],"[21, 23]",2.0,14.33
21,-,-,-,-
22,[30],"[20, 15]",12.1,22.154
23,[30],"[19, 17]",2.0,6.462
24,-,-,-,-
25,"[10, 20]","[7, 8, 14]",22.8,32.398
26,-,-,-,-
27,[21],"[2, 1]",2.0,5.538
28,"[30, 14, 20, 10]","[17, 21, 13, 8, 6]",16.6,57.933
29,[14],"[21, 25]",4.0,18.246
30,"[30, 21]","[15, 0, 4]",12.4,28.845
31,-,-,-,-
32,"[14, 20, 21]","[23, 13, 4, 2]",6.0,43.904
33,[30],"[20, 0]",2.0,16.641
34,"[20, 14]","[9, 13, 25]",18.8,15.477
35,-,-,-,-
36,-,-,-,-
37,"[10, 20]","[7, 8, 12]",6.0,21.985
38,"[30, 14]","[20, 21, 22]",4.0,9.231
39,"[20, 14, 30]","[8, 13, 21, 20]",27.7,42.758
40,-,-,-,-
41,-,-,-,-
42,[10],"[7, 8]",2.0,5.382
43,-,-,-,-
44,"[14, 30]","[22, 21, 17]",24.4,18.462
45,"[20, 10]","[14, 4, 7]",14.3,37.324
46,-,-,-,-
47,[10],"[6, 8]",2.0,7.209
48,-,-,-,-
49,"[30, 21, 10]","[18, 0, 4, 5]",30.9,41.686
