number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,08:12:21,[],[]
2,4,08:54:35,09:10:00,"['56', '58', '45']",[]
3,2,09:34:00,09:36:00,[],"['56', '58']"
4,1,09:45:00,09:47:00,['37'],['45']
5,0,09:57:03,10:00:00,['54'],['37']
6,1,10:10:03,10:17:00,[],['54']
7,2,10:26:00,10:55:00,['51'],[]
8,4,11:19:00,11:28:13,"['15', '47']",['51']
9,3,11:43:13,12:18:00,['12'],"['15', '47']"
10,2,12:27:00,12:29:00,[],['12']
11,1,12:38:00,12:40:00,['9'],[]
12,0,12:50:03,13:07:34,['13'],['9']
13,1,13:17:37,13:19:37,[],['13']
14,3,13:37:37,13:41:50,"['2', '25']",[]
15,4,13:56:50,14:38:37,['11'],"['2', '25']"
16,0,15:20:51,15:22:52,[],['11']
17,15,15:22:52,19:00:00,[],[]
