number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,08:10:38,[],[]
2,2,08:26:32,08:28:32,['20'],[]
3,1,08:36:14,08:38:15,['54'],[]
4,0,08:46:52,09:15:00,"['38', '13']","['20', '54']"
5,1,09:23:37,09:31:45,[],"['38', '13']"
6,0,09:40:22,09:42:22,['43'],[]
7,2,09:58:16,10:00:17,['28'],[]
8,3,10:07:59,10:10:00,['95'],['43']
9,4,10:22:51,11:20:44,['18'],"['95', '28']"
10,1,11:49:01,11:51:01,[],['18']
11,0,11:59:38,12:04:59,"['19', '79']",[]
12,4,12:41:11,13:40:13,"['0', '35']","['19', '79']"
13,3,13:53:04,14:13:48,[],['0']
14,1,14:29:13,14:40:00,['34'],['35']
15,3,14:55:25,14:57:25,['92'],[]
16,4,15:10:16,15:12:17,['8'],"['92', '34']"
17,2,15:32:51,15:35:17,['80'],[]
18,1,15:42:59,15:45:00,['94'],[]
19,0,15:53:37,16:01:56,[],"['80', '8', '94']"
20,1,16:10:33,16:12:34,['68'],[]
21,3,16:27:59,16:30:00,['51'],[]
22,4,16:42:51,17:27:02,['26'],"['51', '68']"
23,3,17:39:53,17:41:54,[],['26']
24,15,18:05:21,19:00:00,[],[]
