number,stop ID,arrival time,departure time,pick up users,drop of users
1,16,07:00:00,08:12:40,[],[]
2,10,08:22:59,08:25:00,['8'],[]
3,4,08:30:54,08:56:46,['7'],['8']
4,10,09:02:40,09:04:40,[],['7']
5,9,09:10:34,10:29:08,['19'],[]
6,4,10:40:57,10:42:57,['28'],['19']
7,11,10:53:45,10:55:45,[],['28']
8,12,11:00:43,12:10:00,['2'],[]
9,0,12:23:50,13:15:00,['15'],['2']
10,14,13:22:56,14:15:00,['16'],['15']
11,9,14:27:33,14:31:42,[],['16']
12,8,14:42:27,15:57:09,['10'],[]
13,12,16:13:39,16:15:39,[],['10']
14,14,16:22:22,16:35:00,['27'],[]
15,13,16:38:41,16:40:41,['11'],[]
16,11,16:52:21,16:54:22,[],['27']
17,8,17:08:05,17:10:05,[],['11']
18,16,17:10:04,19:00:00,[],[]
