user ID,used buses,used transfer points,waiting time,ride time
0,[20],"[13, 10]",2.0,17.021
1,[21],"[0, 4]",6.4,26.075
2,[110],"[6, 8]",2.0,7.209
3,[110],"[8, 5]",4.7,13.323
4,"[120, 110]","[10, 4, 7]",21.0,18.283
5,"[121, 10]","[2, 4, 7]",17.8,25.923
6,"[21, 110]","[3, 4, 6]",18.5,18.834
7,[121],"[3, 0]",4.9,16.956
8,"[10, 20]","[6, 4, 11]",24.7,19.513
9,[120],"[14, 11]",2.0,11.077
10,"[20, 21]","[12, 4, 3]",26.1,25.006
11,[20],"[11, 13]",2.0,11.676
12,[20],"[9, 0]",4.0,20.496
13,[10],"[4, 6]",2.0,8.708
14,"[110, 120]","[7, 4, 12]",16.5,27.408
15,-,-,-,-
16,[120],"[13, 12]",2.0,6.72
17,[21],"[4, 1]",4.0,20.308
18,[21],"[4, 2]",2.0,14.769
19,"[121, 20]","[3, 4, 11]",4.0,20.035
20,[120],"[12, 11]",2.0,4.971
21,[20],"[11, 10]",4.0,16.715
22,"[10, 21]","[6, 4, 1]",24.4,29.016
23,[120],"[11, 10]",2.0,5.538
24,[20],"[13, 11]",2.0,11.676
25,"[121, 110]","[2, 4, 7]",14.5,25.923
26,[120],"[9, 10]",2.0,5.911
27,"[121, 10]","[1, 4, 5]",25.9,24.0
28,"[120, 10]","[14, 8, 7]",23.1,32.307
29,"[110, 20]","[6, 4, 12]",15.7,25.376
30,[120],"[12, 13]",2.0,6.72
31,[20],"[10, 4]",2.0,5.911
32,[20],"[8, 4]",2.0,12.923
33,"[20, 21]","[9, 4, 2]",22.6,26.59
34,"[21, 110]","[3, 4, 8]",16.4,22.154
35,[20],"[9, 0]",4.0,20.496
36,"[20, 110]","[12, 4, 5]",4.0,19.466
37,[21],"[3, 4]",2.0,9.231
38,"[10, 120]","[5, 4, 13]",18.6,26.188
39,"[121, 120]","[3, 4, 12]",26.1,25.006
40,-,-,-,-
41,"[120, 110]","[13, 4, 5]",23.8,26.173
42,"[10, 120]","[7, 8, 12]",14.4,32.567
43,"[121, 120]","[2, 0, 9]",18.0,35.13
44,[20],"[10, 13]",15.8,17.229
45,[120],"[9, 14]",2.0,12.555
46,[21],"[0, 4]",2.0,25.994
47,[10],"[5, 4]",2.0,3.692
48,[121],"[2, 1]",2.0,5.538
49,"[21, 110]","[0, 4, 7]",26.7,37.148
50,"[21, 20]","[3, 4, 12]",26.1,25.004
51,[120],"[11, 13]",12.0,11.691
52,-,-,-,-
53,"[120, 10]","[12, 4, 5]",6.0,19.468
54,[120],"[11, 12]",2.0,4.971
55,-,-,-,-
56,[121],"[4, 0]",4.0,26.5
57,"[10, 121]","[5, 4, 1]",25.9,24.0
58,"[20, 121]","[9, 4, 3]",17.8,21.052
59,"[10, 120]","[5, 4, 11]",14.7,14.497
60,[121],"[1, 0]",2.0,6.192
61,-,-,-,-
62,-,-,-,-
63,"[121, 110]","[3, 4, 6]",4.0,17.939
64,[121],"[3, 1]",2.0,11.077
65,[10],"[5, 6]",2.0,5.911
66,-,-,-,-
67,"[110, 20]","[8, 4, 11]",6.7,23.727
68,[21],"[0, 2]",2.0,11.418
69,"[120, 21]","[9, 0, 3]",7.5,36.317
70,[120],"[13, 12]",2.0,6.72
71,[20],"[11, 0]",7.3,22.845
72,"[20, 21]","[14, 0, 3]",8.9,24.897
73,[110],"[7, 5]",2.0,7.941
74,"[21, 20]","[1, 0, 13]",24.1,17.346
75,"[110, 21]","[7, 4, 3]",11.3,20.384
76,"[110, 20]","[5, 4, 13]",15.7,26.186
77,"[110, 121]","[6, 4, 1]",4.0,29.016
78,"[120, 110]","[11, 4, 6]",23.8,20.407
79,[20],"[12, 13]",2.0,6.72
80,"[110, 120]","[6, 4, 11]",4.6,19.513
81,[20],"[0, 9]",2.0,19.472
82,"[10, 120]","[6, 4, 9]",14.4,20.529
83,"[21, 120]","[2, 4, 8]",8.0,37.355
84,"[10, 120]","[6, 4, 9]",14.4,20.529
85,[121],"[1, 2]",2.0,5.538
86,"[20, 121]","[13, 0, 1]",4.0,17.346
87,[21],"[4, 2]",2.0,14.769
88,"[120, 10]","[11, 4, 8]",4.0,23.727
89,"[120, 10]","[13, 4, 8]",6.0,35.404
