number,stop ID,arrival time,departure time,pick up users,drop of users
1,16,07:00:00,08:20:22,[],[]
2,8,08:20:22,08:22:22,['24'],[]
3,11,08:36:05,08:38:06,[],['24']
4,12,08:43:04,08:45:04,['2'],[]
5,0,08:58:54,09:10:00,['15'],['2']
6,4,09:35:59,09:55:42,"['21', '16']",['15']
7,12,10:11:28,10:13:28,[],['16']
8,0,10:27:18,10:29:19,[],['21']
9,10,10:51:30,11:15:00,['13'],[]
10,4,11:20:54,11:25:41,['17'],['13']
11,13,11:48:09,11:50:10,[],['17']
12,11,12:01:50,12:03:50,['29'],[]
13,4,12:14:38,12:16:39,[],['29']
14,11,12:27:27,12:45:00,['7'],[]
15,14,12:56:04,13:13:04,[],['7']
16,0,13:21:00,14:01:16,"['28', '18']",[]
17,14,14:09:12,14:11:12,[],['28']
18,4,14:32:44,14:34:45,[],['18']
19,16,14:47:40,19:00:00,[],[]
