number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,08:32:12,[],[]
2,3,08:49:02,08:51:02,['46'],[]
3,2,08:56:34,08:58:35,['27'],[]
4,0,09:10:00,09:12:00,[],"['27', '46']"
5,4,09:37:59,09:40:00,['43'],[]
6,1,10:00:18,10:19:34,"['25', '40']",['43']
7,0,10:25:45,10:27:46,['30'],"['40', '25']"
8,2,10:39:11,10:50:59,[],['30']
9,3,10:56:31,11:25:00,['39'],[]
10,4,11:34:13,11:36:13,[],['39']
11,3,11:45:26,11:47:27,['19'],[]
12,4,11:56:40,11:58:41,['32'],['19']
13,1,12:18:59,14:00:00,['48'],['32']
14,0,14:06:11,14:18:39,[],['48']
15,15,14:18:38,19:00:00,[],[]
