number,stop ID,arrival time,departure time,pick up users,drop of users
1,16,07:00:00,08:10:00,[],[]
2,8,08:10:00,08:12:00,['22'],[]
3,4,08:33:00,08:35:00,['8'],['22']
4,10,08:44:36,08:46:36,[],['8']
5,4,08:56:12,09:00:00,"['3', '42']",[]
6,13,09:36:31,09:38:31,[],['42']
7,14,09:44:30,10:07:09,['30'],['3']
8,0,10:20:03,10:22:03,"['25', '40']",['30']
9,12,10:44:32,10:46:33,[],['25']
10,11,10:54:37,11:00:00,['4'],['40']
11,14,11:18:00,11:40:00,['37'],['4']
12,10,12:07:00,12:09:00,[],['37']
13,8,12:25:46,12:53:37,['15'],[]
14,12,13:20:26,13:22:27,[],['15']
15,10,13:39:13,13:41:13,['0'],[]
16,12,13:57:59,14:00:00,['34'],[]
17,14,14:10:55,14:12:55,[],"['34', '0']"
18,0,14:25:49,14:27:49,['48'],[]
19,10,15:03:52,15:07:37,[],['48']
20,16,15:24:23,19:00:00,[],[]
