user ID,used buses,used transfer points,waiting time,ride time
0,[10],"[7, 5]",2.0,7.941
1,"[120, 110]","[0, 8, 7]",14.6,35.619
2,"[120, 121]","[13, 0, 3]",22.3,28.589
3,"[10, 21]","[6, 4, 3]",23.4,18.834
4,[110],"[6, 4]",2.0,8.708
5,"[21, 20]","[3, 4, 9]",25.2,21.052
6,[20],"[9, 13]",2.0,12.0
7,"[20, 10]","[12, 8, 5]",8.0,29.723
8,[121],"[3, 0]",4.0,17.269
9,[20],"[14, 8]",17.1,23.323
10,"[10, 20]","[5, 4, 10]",12.5,9.603
11,"[20, 121]","[12, 4, 1]",8.9,36.083
12,"[121, 20]","[3, 4, 11]",24.9,20.035
13,[110],"[8, 7]",2.0,5.382
14,[20],"[11, 9]",2.0,3.806
15,"[20, 10]","[9, 8, 5]",6.0,23.885
16,[20],"[11, 4]",2.0,10.804
17,[120],"[12, 0]",2.0,13.846
18,"[21, 10]","[2, 4, 8]",4.0,27.692
19,"[120, 121]","[14, 0, 2]",4.0,19.358
