number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:47:06,[],[]
2,19,08:09:59,08:12:00,['33'],[]
3,18,08:14:07,08:25:00,['0'],[]
4,3,08:37:05,08:39:05,[],['0']
5,1,08:46:35,08:48:35,[],['33']
6,6,09:04:14,09:16:15,['37'],[]
7,19,09:19:36,09:21:37,[],['37']
8,20,09:24:58,09:37:57,['5'],[]
9,19,09:41:18,09:43:18,['46'],[]
10,6,09:46:39,09:48:39,['48'],['5']
11,5,09:51:38,09:53:39,[],['46']
12,3,09:59:38,10:07:45,[],['48']
13,1,10:15:15,10:17:15,['49'],[]
14,5,10:30:03,10:32:03,[],['49']
15,18,10:38:14,10:40:15,['32'],[]
16,20,10:44:45,10:46:45,[],['32']
17,6,10:53:27,10:55:27,['13'],[]
18,2,11:09:40,11:16:16,[],['13']
19,3,11:22:37,11:24:38,"['45', '4']",[]
20,6,11:33:37,11:35:38,['26'],"['45', '4']"
21,4,11:40:07,11:42:08,['39'],[]
22,2,11:52:11,11:54:12,[],['26']
23,1,11:55:42,11:57:42,['10'],['39']
24,6,12:13:21,12:15:21,"['40', '8']",['10']
25,18,12:18:42,12:20:43,[],['40']
26,20,12:25:13,13:00:00,['2'],['8']
27,6,13:06:42,13:08:42,['14'],['2']
28,18,13:12:03,13:26:42,[],['14']
29,19,13:28:49,13:30:49,['43'],[]
30,17,13:35:33,13:50:00,['27'],['43']
31,6,13:53:21,13:55:21,"['44', '31', '16']",['27']
32,5,13:58:21,14:00:21,[],['44']
33,1,14:13:09,14:15:10,[],['16']
34,0,14:20:34,14:26:45,[],['31']
35,21,14:26:45,19:00:00,[],[]
