number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,07:51:30,[],[]
2,9,08:02:59,08:05:00,['68'],[]
3,14,08:12:49,08:14:49,[],['68']
4,11,08:21:44,08:30:00,['94'],[]
5,10,08:33:51,08:40:00,['12'],[]
6,9,08:41:17,08:43:17,[],['94']
7,8,08:44:34,08:49:34,['57'],['12']
8,12,08:57:03,08:59:04,['44'],[]
9,6,09:09:25,09:11:26,['55'],"['57', '44']"
10,14,09:18:21,09:20:22,['13'],[]
11,10,09:26:55,09:28:55,[],['55']
12,7,09:33:33,09:48:21,[],['13']
13,10,09:52:59,09:55:00,['37'],[]
14,13,10:02:29,10:29:59,['49'],['37']
15,15,10:35:07,10:50:00,['85'],[]
16,6,10:54:38,10:58:21,['34'],"['49', '85']"
17,15,11:02:59,11:05:00,['72'],[]
18,7,11:14:21,11:16:24,['62'],['34']
19,0,11:26:11,11:28:12,['19'],"['62', '72']"
20,6,11:45:26,11:47:27,['16'],['19']
21,13,11:56:48,11:58:48,[],['16']
22,15,12:03:56,12:28:13,['60'],[]
23,6,12:32:51,12:41:38,[],['60']
24,16,12:43:27,13:00:00,['83'],[]
25,6,13:01:49,13:10:51,"['4', '86']",['83']
26,13,13:20:12,13:22:13,[],['4']
27,10,13:29:42,13:36:49,[],['86']
28,9,13:38:06,13:45:00,['14'],[]
29,8,13:46:17,13:48:17,['5'],['14']
30,9,13:49:34,13:56:26,['91'],[]
31,6,14:07:55,14:09:56,['38'],"['5', '91']"
32,10,14:20:17,14:25:25,[],['38']
33,8,14:27:59,14:30:00,['99'],[]
34,11,14:34:38,14:36:38,['9'],[]
35,15,14:44:51,14:46:52,[],['9']
36,6,14:51:30,14:53:30,"['6', '11']",['99']
37,16,14:55:19,14:57:41,[],['6']
38,14,15:02:59,15:05:00,['98'],['11']
39,9,15:12:49,15:14:49,[],['98']
40,8,15:16:06,15:30:00,['71'],[]
41,6,15:42:39,16:04:52,['58'],['71']
42,14,16:11:47,16:20:00,['32'],[]
43,12,16:23:38,16:25:38,[],"['58', '32']"
44,16,16:34:15,17:05:00,['46'],[]
45,6,17:06:49,17:08:49,[],['46']
46,22,17:08:48,19:00:00,[],[]
