user ID,used buses,used transfer points,waiting time,ride time
0,"[0, 16]","[18, 6, 15]",17.5,10.082
1,[16],"[6, 11]",14.2,14.758
2,[16],"[11, 16]",4.0,14.249
3,[0],"[19, 6]",2.0,2.875
4,"[10, 6]","[20, 6, 13]",23.4,15.11
5,"[6, 10]","[8, 6, 19]",10.9,15.66
6,"[0, 6]","[20, 6, 16]",18.7,8.55
7,"[0, 16]","[2, 6, 15]",6.0,17.118
8,"[16, 0]","[7, 6, 5]",19.1,18.137
9,[6],"[11, 15]",2.0,8.233
10,"[10, 16]","[2, 6, 9]",11.6,31.573
11,"[10, 6]","[17, 6, 14]",15.0,9.994
12,[6],"[10, 8]",4.0,2.571
13,[6],"[14, 7]",4.0,11.192
14,[6],"[9, 8]",2.0,1.286
15,-,-,-,-
16,"[0, 6]","[17, 6, 13]",22.3,12.235
17,[0],"[0, 5]",8.0,15.247
18,"[16, 0]","[9, 6, 5]",17.1,14.071
19,"[6, 10]","[0, 6, 20]",21.1,23.982
20,[10],"[20, 4]",6.6,9.607
21,[16],"[16, 11]",2.0,10.91
22,[10],"[1, 6]",2.0,13.423
23,[0],"[4, 6]",2.0,3.857
24,"[10, 16]","[5, 6, 11]",19.0,15.44
25,[16],"[14, 6]",2.0,6.924
26,"[16, 0]","[8, 6, 20]",19.0,23.829
27,[10],"[19, 2]",6.0,16.044
28,[0],"[17, 1]",19.5,17.018
29,"[0, 16]","[20, 6, 10]",6.0,21.57
30,[0],"[3, 1]",2.0,6.429
31,"[16, 0]","[7, 6, 20]",8.1,17.393
32,[6],"[14, 12]",2.0,3.637
33,[16],"[16, 11]",2.0,10.91
34,"[0, 6]","[2, 6, 7]",8.5,26.359
35,[0],"[0, 20]",4.0,23.0
36,[10],"[17, 1]",10.3,16.524
37,[6],"[10, 13]",2.0,7.497
38,"[10, 6]","[1, 6, 10]",12.3,23.789
39,-,-,-,-
40,[10],"[1, 3]",2.0,6.429
41,[16],"[10, 9]",2.0,1.286
42,[10],"[2, 17]",6.0,16.044
43,[16],"[15, 11]",2.0,8.233
44,"[6, 0]","[12, 6, 19]",7.5,13.241
45,[10],"[3, 1]",2.0,6.429
46,"[6, 0]","[16, 6, 3]",8.5,9.533
47,"[16, 0]","[13, 6, 2]",9.5,21.836
48,[10],"[19, 17]",2.0,4.066
49,"[6, 0]","[13, 6, 20]",23.0,15.528
50,[0],"[18, 1]",6.0,16.358
51,"[0, 16]","[5, 6, 12]",22.6,12.937
52,[16],"[10, 14]",2.0,6.556
53,"[10, 16]","[3, 6, 13]",7.6,17.493
54,-,-,-,-
55,"[10, 6]","[19, 6, 10]",19.6,16.355
56,[10],"[20, 3]",17.1,13.464
57,"[6, 0]","[8, 6, 20]",19.2,23.613
58,"[0, 6]","[19, 6, 12]",12.2,13.435
59,"[0, 16]","[4, 6, 11]",6.0,16.725
60,"[6, 10]","[15, 6, 4]",20.6,8.493
61,[10],"[3, 20]",11.5,14.446
62,[6],"[7, 0]",2.0,9.792
63,[16],"[6, 14]",2.0,6.924
64,[16],"[12, 6]",18.3,10.56
65,"[16, 10]","[7, 6, 18]",13.7,14.518
66,"[10, 16]","[3, 6, 13]",21.3,17.353
67,[10],"[3, 1]",4.0,6.741
68,[6],"[9, 14]",2.0,7.821
69,[16],"[14, 12]",2.0,3.637
70,-,-,-,-
71,"[6, 10]","[8, 6, 4]",8.5,16.52
72,[6],"[15, 0]",4.0,19.152
73,[10],"[4, 0]",4.0,14.427
74,[16],"[6, 15]",4.0,4.693
75,[0],"[20, 1]",6.0,19.233
76,[16],"[8, 7]",2.0,3.857
77,[10],"[4, 6]",4.0,3.857
78,"[0, 16]","[5, 6, 12]",22.6,12.937
79,[10],"[20, 1]",6.0,19.399
80,"[16, 0]","[9, 6, 2]",20.3,23.697
81,[10],"[2, 18]",10.7,15.357
82,"[0, 16]","[3, 6, 16]",4.3,9.533
83,"[6, 10]","[16, 6, 4]",15.5,5.675
84,"[0, 16]","[0, 6, 16]",4.0,19.068
85,"[6, 10]","[15, 6, 5]",5.7,7.207
86,"[0, 6]","[1, 6, 10]",8.0,30.506
87,[16],"[9, 11]",2.0,4.066
88,[10],"[2, 0]",4.0,5.921
89,-,-,-,-
90,[10],"[18, 5]",6.4,8.018
91,"[6, 10]","[9, 6, 19]",4.0,14.375
92,"[16, 0]","[16, 6, 1]",13.0,15.375
93,"[16, 0]","[11, 6, 5]",13.0,15.299
94,[6],"[11, 9]",8.1,5.143
95,[10],"[6, 0]",6.0,18.285
96,[16],"[15, 6]",2.0,4.636
97,-,-,-,-
98,[6],"[14, 9]",2.0,7.821
99,"[6, 10]","[8, 6, 3]",8.0,25.218
