number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:17:05,[],[]
2,3,08:27:59,08:30:00,['7'],[]
3,6,08:37:42,08:39:42,['6'],['7']
4,18,08:42:34,08:50:57,[],['6']
5,19,08:52:46,09:10:00,['26'],[]
6,2,09:24:22,09:26:22,[],['26']
7,3,09:31:49,11:13:17,['3'],[]
8,6,11:20:59,11:23:00,['28'],['3']
9,2,11:35:11,11:37:11,[],['28']
10,0,11:42:38,11:45:00,['9'],[]
11,6,12:02:14,12:04:14,[],['9']
12,3,12:11:56,12:40:00,['13'],[]
13,6,12:47:42,13:00:07,[],['13']
14,19,13:02:59,13:05:00,['22'],[]
15,20,13:07:52,13:10:46,[],['22']
16,6,13:16:30,13:33:46,"['17', '14']",[]
17,19,13:36:38,13:50:07,[],['17']
18,20,13:52:59,14:00:00,"['5', '24']",['14']
19,17,14:06:25,14:08:25,[],['24']
20,6,14:11:17,14:23:18,[],['5']
21,21,14:40:32,19:00:00,[],[]
