user ID,used buses,used transfer points,waiting time,ride time
0,[0],"[18, 3]",2.0,10.366
1,[6],"[11, 9]",2.0,4.066
2,"[10, 6]","[20, 6, 10]",8.1,20.181
3,"[10, 6]","[4, 6, 14]",4.0,10.781
4,"[0, 16]","[3, 6, 8]",19.5,25.872
5,"[10, 16]","[20, 6, 8]",20.2,18.413
6,"[16, 10]","[12, 6, 19]",4.0,13.241
7,[10],"[2, 3]",2.0,5.455
8,[0],"[6, 20]",9.5,6.732
9,[16],"[16, 12]",2.0,8.625
10,"[0, 6]","[1, 6, 10]",4.0,23.789
11,"[0, 16]","[17, 6, 9]",13.4,14.375
12,[0],"[17, 1]",2.0,15.641
13,"[16, 0]","[10, 0, 2]",12.9,20.349
14,"[6, 10]","[15, 6, 18]",14.5,7.511
15,[6],"[7, 12]",2.0,10.042
16,"[16, 10]","[10, 6, 1]",16.7,26.903
17,[10],"[19, 3]",4.0,10.589
18,[0],"[1, 5]",17.9,11.883
19,[6],"[8, 12]",2.0,7.497
20,"[6, 0]","[14, 6, 1]",24.7,20.691
21,[16],"[8, 11]",2.0,4.636
22,[0],"[5, 0]",4.0,15.247
23,"[16, 0]","[8, 6, 2]",6.8,25.026
24,[10],"[19, 6]",2.0,2.875
25,[6],"[8, 12]",16.5,7.714
26,"[16, 0]","[8, 6, 2]",9.2,30.345
27,"[10, 16]","[17, 6, 8]",18.3,20.738
28,"[10, 16]","[5, 6, 12]",4.0,12.937
29,[16],"[8, 6]",4.0,17.863
30,[10],"[17, 3]",4.0,10.589
31,"[16, 10]","[14, 6, 0]",16.1,24.983
32,[10],"[18, 20]",2.0,3.857
33,[0],"[19, 1]",17.2,18.613
34,"[0, 16]","[5, 6, 7]",14.8,22.441
35,"[10, 16]","[3, 6, 9]",6.0,19.214
36,"[6, 10]","[12, 6, 1]",18.5,24.509
37,"[6, 10]","[9, 6, 19]",17.8,19.669
38,[16],"[11, 10]",2.0,3.857
39,[0],"[4, 1]",4.0,9.911
40,"[6, 0]","[12, 6, 18]",17.2,13.241
41,[16],"[10, 13]",2.0,7.497
42,[16],"[16, 7]",2.0,10.286
43,[10],"[19, 17]",2.0,4.066
44,"[16, 10]","[14, 6, 5]",5.0,9.495
45,"[0, 16]","[3, 6, 9]",14.5,24.586
46,[10],"[19, 5]",4.0,5.446
47,"[10, 6]","[4, 6, 11]",4.0,16.585
48,"[16, 10]","[10, 6, 3]",8.0,24.571
49,[10],"[1, 5]",2.0,10.985
