number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,07:47:38,[],[]
2,10,07:57:59,08:00:00,['53'],[]
3,14,08:06:33,08:15:00,['44'],[]
4,6,08:21:55,08:30:00,['78'],"['53', '44']"
5,10,08:40:21,08:42:21,[],['78']
6,7,08:46:59,08:53:32,"['66', '41']",[]
7,9,08:57:35,08:59:36,['46'],[]
8,16,09:09:23,09:11:23,[],"['66', '46']"
9,6,09:13:12,09:15:12,"['73', '61']",['41']
10,12,09:25:33,09:27:34,[],['73']
11,11,09:31:25,09:44:16,[],['61']
12,16,09:55:10,09:58:58,['56'],[]
13,6,10:00:47,10:02:47,['49'],['56']
14,13,10:12:08,10:14:08,[],['49']
15,11,10:20:33,10:22:34,['15'],[]
16,8,10:27:12,10:29:12,['58'],[]
17,0,10:42:37,10:55:00,['18'],"['15', '58']"
18,8,11:08:25,11:10:25,[],['18']
19,0,11:23:50,11:26:52,"['4', '69', '32']",[]
20,8,11:40:17,11:45:20,['22'],[]
21,11,11:49:58,11:51:58,[],"['69', '32']"
22,16,12:02:52,12:04:53,[],['4']
23,6,12:06:42,12:19:34,[],['22']
24,12,12:29:55,12:40:00,['33'],[]
25,14,12:43:38,12:49:18,['3'],[]
26,6,12:56:13,12:58:13,[],"['3', '33']"
27,9,13:09:42,13:11:43,['47'],[]
28,12,13:18:08,13:20:09,[],['47']
29,13,13:22:43,13:24:43,['57'],[]
30,16,13:32:32,13:34:33,[],['57']
31,6,13:36:22,13:38:22,['65'],[]
32,7,13:50:00,13:52:00,[],['65']
33,9,13:56:03,13:58:04,['59'],[]
34,11,14:02:07,14:04:08,[],['59']
35,12,14:07:59,14:10:00,['16'],[]
36,6,14:20:21,14:22:21,['30'],['16']
37,16,14:24:10,14:26:11,[],['30']
38,22,14:28:00,19:00:00,[],[]
