user ID,used buses,used transfer points,waiting time,ride time
0,[16],"[8, 16]",7.7,14.393
1,[16],"[11, 6]",4.0,12.728
2,"[16, 0]","[15, 6, 0]",9.1,22.695
3,[6],"[14, 6]",2.0,6.924
4,[6],"[0, 16]",9.0,28.969
5,"[0, 16]","[20, 6, 16]",6.0,7.568
6,[16],"[7, 16]",2.0,10.286
7,[0],"[19, 18]",2.0,1.818
8,[16],"[14, 15]",2.0,2.571
9,[10],"[17, 4]",2.0,6.556
10,[16],"[9, 8]",2.0,1.286
11,-,-,-,-
12,[16],"[0, 14]",4.0,22.515
13,[16],"[8, 0]",2.0,13.423
14,[16],"[10, 6]",6.0,15.84
15,"[6, 10]","[11, 0, 3]",6.0,28.969
16,"[6, 0]","[12, 6, 3]",24.3,18.08
17,[0],"[19, 4]",5.0,6.732
18,[6],"[0, 8]",2.0,13.423
19,[16],"[7, 12]",4.0,10.494
20,"[10, 16]","[2, 6, 8]",12.8,25.145
21,[0],"[18, 2]",6.0,16.044
22,"[6, 10]","[8, 6, 17]",18.9,20.239
23,"[16, 0]","[16, 6, 19]",5.7,4.693
24,[10],"[5, 18]",6.0,8.018
25,"[10, 16]","[17, 6, 14]",16.7,9.994
26,[10],"[20, 18]",2.0,3.857
27,"[10, 16]","[17, 6, 8]",18.7,19.086
28,"[0, 16]","[19, 6, 13]",6.0,12.514
29,[0],"[4, 19]",4.0,5.921
30,"[0, 6]","[17, 6, 16]",6.5,4.693
31,[0],"[18, 2]",6.0,16.044
32,"[10, 6]","[2, 0, 11]",23.5,23.514
33,"[6, 10]","[12, 6, 17]",11.5,13.435
34,[10],"[2, 6]",4.0,12.482
35,[10],"[6, 20]",6.0,9.304
36,[10],"[5, 20]",12.0,11.875
37,[10],"[1, 17]",15.1,16.432
38,"[16, 0]","[16, 6, 1]",22.8,15.242
39,"[16, 0]","[8, 6, 20]",11.7,21.961
40,[10],"[3, 1]",2.0,6.429
41,"[6, 10]","[7, 6, 20]",20.1,21.426
42,-,-,-,-
43,"[16, 10]","[9, 6, 18]",13.3,22.719
44,"[6, 0]","[14, 6, 3]",4.9,14.638
45,[16],"[6, 0]",4.0,24.74
46,[6],"[9, 16]",2.0,9.792
47,[6],"[9, 12]",2.0,6.429
48,-,-,-,-
49,"[0, 6]","[0, 6, 13]",15.8,26.61
50,"[16, 0]","[14, 6, 1]",24.8,20.543
51,"[10, 16]","[1, 6, 14]",15.1,20.48
52,[0],"[4, 5]",2.0,1.286
53,"[6, 0]","[10, 6, 3]",13.4,21.194
54,[0],"[6, 3]",4.0,7.714
55,[0],"[6, 4]",2.0,3.857
56,"[6, 0]","[16, 6, 20]",4.7,7.568
57,[6],"[13, 16]",2.0,7.821
58,[6],"[8, 0]",2.0,13.423
59,[6],"[9, 11]",2.0,4.066
60,[0],"[1, 20]",15.6,19.173
61,"[0, 6]","[19, 6, 11]",11.2,17.098
62,[16],"[12, 15]",2.0,5.75
63,-,-,-,-
64,[10],"[4, 6]",2.0,3.857
65,"[0, 6]","[18, 6, 7]",4.0,14.518
66,[6],"[7, 16]",4.0,13.857
67,-,-,-,-
68,"[16, 10]","[11, 6, 5]",19.7,15.299
69,"[10, 6]","[2, 0, 11]",23.5,23.514
70,[0],"[2, 5]",6.5,9.911
71,[16],"[16, 0]",7.0,27.816
72,"[16, 0]","[10, 0, 1]",4.0,19.01
73,"[10, 6]","[5, 6, 12]",22.6,12.937
74,-,-,-,-
75,[16],"[6, 8]",2.0,12.663
76,"[0, 16]","[4, 6, 16]",18.9,5.675
77,"[16, 0]","[8, 6, 20]",11.7,23.114
78,[6],"[6, 10]",2.0,10.366
79,"[16, 10]","[15, 6, 20]",8.0,13.939
