user ID,used buses,used transfer points,waiting time,ride time
0,[16],"[11, 8]",2.0,4.636
1,"[6, 0]","[10, 6, 18]",11.4,22.303
2,[16],"[13, 9]",2.0,8.625
3,[6],"[16, 12]",2.0,8.625
4,"[6, 0]","[13, 6, 20]",23.4,15.11
5,"[6, 10]","[14, 6, 3]",14.0,14.921
6,"[16, 10]","[10, 0, 2]",6.0,20.296
7,"[0, 16]","[20, 6, 16]",19.0,7.568
8,"[10, 6]","[2, 6, 14]",4.0,19.121
9,[6],"[12, 10]",2.0,5.455
10,"[0, 6]","[18, 6, 15]",4.0,7.511
11,[16],"[7, 8]",2.0,3.857
12,[10],"[6, 2]",4.0,13.169
13,[10],"[1, 3]",4.0,6.741
14,[0],"[0, 17]",4.0,20.125
15,[16],"[16, 8]",6.0,17.731
16,"[10, 16]","[2, 0, 9]",8.0,20.389
17,[6],"[11, 15]",5.1,9.495
18,[10],"[0, 4]",2.0,13.907
19,"[0, 6]","[2, 0, 9]",23.8,19.302
