user ID,used buses,used transfer points,waiting time,ride time
0,[0],"[1, 3]",2.0,6.429
1,[10],"[20, 4]",2.0,8.233
2,"[0, 16]","[3, 6, 10]",22.0,18.08
3,-,-,-,-
4,[6],"[12, 7]",2.0,10.042
5,[10],"[17, 6]",2.0,2.875
6,[6],"[16, 12]",14.1,10.444
7,-,-,-,-
8,[16],"[11, 10]",2.0,3.857
9,[16],"[7, 6]",6.0,15.676
10,"[0, 16]","[17, 6, 7]",23.2,14.518
11,[0],"[5, 4]",2.0,1.286
12,[6],"[14, 8]",13.2,13.636
13,[6],"[13, 14]",2.0,2.571
14,"[16, 10]","[15, 6, 19]",12.8,11.576
15,[10],"[6, 0]",6.0,18.779
16,"[6, 10]","[16, 6, 2]",6.0,14.016
17,[0],"[1, 3]",2.0,6.429
18,[6],"[14, 11]",6.0,9.0
19,[0],"[19, 3]",6.0,14.655
20,"[10, 6]","[20, 6, 14]",6.0,16.227
21,"[16, 10]","[12, 6, 17]",17.7,15.225
22,[6],"[6, 13]",4.0,9.495
23,[0],"[20, 17]",4.0,6.941
24,[10],"[2, 18]",4.0,15.072
25,[6],"[13, 11]",4.0,6.429
26,[16],"[14, 12]",2.0,3.637
27,"[16, 10]","[14, 6, 20]",17.7,17.023
28,"[16, 0]","[9, 6, 3]",22.9,19.324
29,"[16, 0]","[9, 6, 3]",14.9,26.493
30,"[16, 10]","[13, 6, 20]",4.0,15.11
31,-,-,-,-
32,[6],"[12, 10]",8.1,7.714
33,"[16, 10]","[8, 6, 18]",18.5,15.538
34,-,-,-,-
35,[16],"[8, 9]",2.0,1.286
36,"[16, 0]","[9, 6, 19]",10.2,21.235
37,"[16, 0]","[16, 6, 4]",18.9,5.675
38,"[0, 16]","[18, 6, 14]",20.4,9.799
39,"[16, 0]","[13, 6, 4]",8.9,13.636
40,"[10, 16]","[2, 6, 11]",23.1,26.045
41,"[16, 10]","[12, 6, 1]",23.5,26.074
42,[0],"[3, 6]",2.0,7.714
43,[6],"[11, 10]",2.0,3.857
44,[0],"[1, 18]",2.0,16.263
45,[6],"[0, 8]",2.0,13.423
46,[10],"[20, 3]",4.1,13.464
47,"[6, 0]","[11, 6, 20]",24.5,18.478
48,-,-,-,-
49,-,-,-,-
