number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:14:05,[],[]
2,4,08:27:59,08:30:00,['5'],[]
3,6,08:33:51,09:32:21,['6'],['5']
4,19,09:35:13,09:37:14,[],['6']
5,6,09:40:06,10:13:38,['9'],[]
6,5,10:16:12,10:18:12,[],['9']
7,18,10:23:30,11:40:00,['3'],[]
8,17,11:42:34,11:44:34,[],['3']
9,6,11:47:26,13:16:22,['2'],[]
10,2,13:28:33,13:30:34,[],['2']
11,17,13:44:56,14:15:29,['7'],[]
12,18,14:18:03,14:45:00,['1'],['7']
13,0,15:05:07,15:07:07,[],['1']
14,32,15:07:07,19:00:00,[],[]
