number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:14:34,[],[]
2,6,08:31:48,08:33:49,['17'],[]
3,3,08:41:31,08:43:31,[],['17']
4,17,08:53:52,09:10:00,['63'],[]
5,5,09:15:18,09:17:18,['29'],[]
6,4,09:18:35,09:20:35,[],['29']
7,0,09:34:29,09:36:38,"['36', '57']",['63']
8,1,09:41:16,09:43:16,[],['36']
9,5,09:54:15,09:56:15,[],['57']
10,6,09:58:49,10:09:15,['21'],[]
11,4,10:13:06,10:17:41,[],['21']
12,1,10:27:28,10:30:00,['20'],[]
13,2,10:31:17,10:35:00,['43'],[]
14,6,10:47:11,10:49:11,[],['43']
15,19,10:52:03,10:54:04,[],['20']
16,3,11:03:25,11:05:25,['3'],[]
17,6,11:13:07,11:15:08,['64'],['3']
18,5,11:17:42,11:19:43,[],['64']
19,3,11:24:51,11:33:05,['49'],[]
20,2,11:38:32,11:40:32,['25'],[]
21,0,11:45:59,11:59:29,['38'],"['25', '49']"
22,2,12:04:56,12:10:00,['39'],['38']
23,1,12:11:17,12:23:11,['10'],[]
24,0,12:27:49,12:29:49,"['46', '54']","['10', '39']"
25,3,12:40:43,12:42:44,[],['54']
26,19,12:52:05,12:54:16,['66'],['46']
27,6,12:57:08,12:59:08,[],['66']
28,4,13:02:59,13:05:00,['68'],[]
29,2,13:13:37,13:15:37,[],['68']
30,3,13:21:04,13:35:00,['58'],[]
31,17,13:45:21,13:51:34,[],['58']
32,20,13:57:59,14:00:00,['40'],[]
33,6,14:05:44,14:14:30,['24'],['40']
34,18,14:17:22,14:45:00,['33'],['24']
35,6,14:47:52,14:52:44,['15'],[]
36,5,14:55:18,15:05:22,[],['33']
37,0,15:20:21,15:36:29,"['32', '48']",['15']
38,2,15:41:56,15:45:34,[],"['32', '48']"
39,4,15:54:11,16:00:00,['5'],[]
40,5,16:01:17,16:15:00,"['51', '16']",[]
41,6,16:17:34,16:19:34,['35'],['5']
42,17,16:22:26,16:24:26,[],"['51', '35']"
43,18,16:27:00,16:29:01,['37'],['16']
44,6,16:31:53,16:33:53,[],['37']
45,1,16:47:18,16:54:42,['52'],[]
46,6,17:08:07,17:10:07,['65'],['52']
47,20,17:15:51,17:22:27,[],['65']
48,32,17:44:34,19:00:00,[],[]
