user ID,used buses,used transfer points,waiting time,ride time
0,"[7, 0]","[21, 0, 18]",4.0,24.76
1,"[6, 0]","[11, 6, 19]",8.0,20.482
2,[0],"[1, 20]",21.4,18.049
3,-,-,-,-
4,"[0, 6]","[4, 6, 12]",20.8,14.223
5,[6],"[11, 16]",2.0,10.91
6,"[6, 0]","[13, 6, 18]",4.0,12.235
7,-,-,-,-
8,"[7, 0]","[26, 0, 2]",7.0,20.581
9,"[6, 0, 7]","[14, 6, 0, 26]",6.0,38.833
10,[7],"[21, 28]",2.0,15.641
11,"[7, 0]","[23, 0, 3]",14.7,18.561
12,"[7, 6]","[24, 0, 11]",4.4,27.7
13,-,-,-,-
14,"[6, 7]","[13, 0, 26]",16.1,37.874
15,[0],"[0, 5]",2.0,14.994
16,[6],"[8, 11]",2.0,4.636
17,[7],"[28, 27]",2.0,3.637
18,"[6, 8, 7]","[15, 6, 28, 27]",9.8,22.649
19,"[8, 6]","[28, 6, 9]",26.3,25.875
20,[7],"[28, 25]",2.0,6.924
21,-,-,-,-
22,"[6, 0]","[16, 6, 0]",18.9,19.068
23,"[0, 8]","[1, 6, 29]",8.9,19.893
24,"[0, 8]","[18, 6, 30]",7.5,10.696
25,[6],"[9, 11]",2.0,4.066
26,"[6, 0]","[11, 6, 3]",4.0,20.442
27,[8],"[29, 31]",2.0,6.429
28,[6],"[6, 8]",4.0,19.152
29,[6],"[10, 15]",2.0,6.556
