number,stop ID,arrival time,departure time,pick up users,drop of users
1,33,07:00:00,08:08:02,[],[]
2,28,08:22:24,08:24:25,"['33', '44']",[]
3,6,08:38:47,08:41:40,"['36', '19', '24']","['33', '44']"
4,29,08:47:24,08:49:25,[],['19']
5,28,08:58:24,09:00:25,[],"['36', '24']"
6,31,09:02:59,09:05:00,['31'],[]
7,30,09:09:03,09:11:03,['23'],[]
8,29,09:13:55,09:15:56,['5'],[]
9,17,09:19:47,09:21:47,[],"['23', '5']"
10,6,09:24:39,09:40:29,[],['31']
11,17,09:43:21,10:15:00,['13'],[]
12,28,10:27:51,10:29:51,['14'],['13']
13,6,10:44:13,10:48:36,"['28', '21']",['14']
14,29,10:54:20,10:56:21,[],['21']
15,31,11:02:46,11:15:21,[],['28']
16,28,11:17:55,11:25:00,['12'],[]
17,29,11:34:00,11:36:00,[],['12']
18,6,11:41:44,12:30:18,['43'],[]
19,30,12:38:07,12:40:07,[],['43']
20,29,12:42:59,12:45:00,['38'],[]
21,17,12:48:51,12:52:08,"['4', '27']",['38']
22,30,12:58:41,13:00:42,[],['4']
23,28,13:07:15,13:09:15,[],['27']
24,6,13:23:37,13:30:00,['18'],[]
25,29,13:35:44,13:37:44,['17'],[]
26,28,13:46:44,13:57:28,"['2', '6']","['18', '17']"
27,31,14:00:02,14:02:02,[],['6']
28,6,14:13:53,14:15:54,[],['2']
29,33,14:15:53,19:00:00,[],[]
