number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:08:21,[],[]
2,21,08:12:59,08:15:00,['25'],[]
3,25,08:24:00,08:35:00,['45'],['25']
4,24,08:37:34,08:39:34,[],['45']
5,27,08:45:59,08:58:56,['13'],[]
6,28,09:02:34,09:04:34,"['31', '15']",['13']
7,27,09:08:12,09:10:12,[],['31']
8,26,09:11:29,09:13:29,[],['15']
9,28,09:18:07,09:59:21,['37'],[]
10,27,10:02:59,10:05:00,['36'],['37']
11,28,10:08:38,10:10:38,[],['36']
12,27,10:14:16,10:16:16,['22'],[]
13,0,10:32:10,10:55:00,['33'],['22']
14,21,10:59:38,11:18:36,[],['33']
15,24,11:25:01,11:50:00,['26'],[]
16,28,11:59:21,12:05:00,[],['26']
17,26,12:09:38,12:45:00,['11'],[]
18,28,12:49:38,12:51:38,[],['11']
19,25,12:58:33,13:27:15,['42'],[]
20,28,13:34:10,13:36:10,"['0', '38']",['42']
21,25,13:43:05,13:45:05,[],['38']
22,0,13:57:16,14:14:50,[],['0']
23,32,14:14:50,19:00:00,[],[]
