number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:47:28,[],[]
2,4,07:59:34,08:01:35,['77'],[]
3,5,08:07:17,08:14:10,[],['77']
4,6,08:14:51,08:40:00,['34'],[]
5,0,08:54:24,08:56:24,[],['34']
6,3,09:05:42,09:50:00,"['55', '40', '29']",[]
7,4,09:53:27,09:55:27,[],['29']
8,5,10:01:09,10:03:10,[],"['55', '40']"
9,3,10:09:04,10:16:09,['22'],[]
10,4,10:19:36,10:21:36,[],['22']
11,3,10:25:03,10:35:00,['67'],[]
12,0,10:44:18,10:47:47,"['63', '7']",['67']
13,3,10:57:05,11:00:00,"['16', '70']",['7']
14,4,11:03:27,11:05:27,[],"['63', '16']"
15,5,11:11:09,11:26:22,[],['70']
16,6,11:27:03,11:50:00,['5'],[]
17,4,11:55:54,12:01:27,['17'],['5']
18,6,12:07:21,12:09:22,['45'],['17']
19,0,12:23:46,12:25:47,['44'],['45']
20,2,12:32:54,12:34:54,['79'],['44']
21,4,12:41:49,12:43:50,['10'],['79']
22,3,12:47:17,12:49:17,[],['10']
23,4,12:52:44,12:54:45,"['18', '47']",[]
24,5,13:00:27,13:15:00,['41'],"['18', '47']"
25,1,13:25:34,13:27:34,['64'],[]
26,0,13:33:47,13:35:47,[],"['64', '41']"
27,4,13:47:53,13:49:54,"['74', '19']",[]
28,3,13:53:21,13:55:22,[],"['74', '19']"
29,4,13:58:49,14:18:36,['78'],[]
30,3,14:22:03,14:24:04,[],['78']
31,2,14:27:31,14:29:32,['69'],[]
32,3,14:32:59,14:35:00,['65'],['69']
33,6,14:40:42,14:46:35,['8'],['65']
34,3,14:52:17,14:54:17,"['68', '37']",[]
35,2,14:57:44,14:59:45,['23'],"['68', '37']"
36,0,15:06:52,15:15:48,['42'],"['23', '8']"
37,3,15:25:06,15:27:46,['21'],[]
38,4,15:31:13,15:33:14,['28'],"['21', '42']"
39,3,15:36:41,16:21:04,['35'],['28']
40,1,16:27:59,16:30:00,['58'],['35']
41,3,16:36:55,16:38:55,[],['58']
42,4,16:42:22,16:47:30,['25'],[]
43,3,16:50:57,16:52:58,['13'],['25']
44,2,16:56:25,16:58:26,[],['13']
45,1,17:01:53,17:05:00,['2'],[]
46,3,17:11:55,17:13:55,[],['2']
47,28,17:23:13,19:00:00,[],[]
